Categoría: Todas las categorías

Mes,Psicoterapia: (Alemania)
2010-01,45
2010-02,43
2010-03,42
2010-04,40
2010-05,41
2010-06,40
2010-07,39
2010-08,42
2010-09,43
2010-10,41
2010-11,41
2010-12,32
2011-01,49
2011-02,45
2011-03,49
2011-04,42
2011-05,50
2011-06,45
2011-07,47
2011-08,44
2011-09,52
2011-10,51
2011-11,50
2011-12,41
2012-01,52
2012-02,50
2012-03,51
2012-04,45
2012-05,48
2012-06,47
2012-07,48
2012-08,54
2012-09,45
2012-10,51
2012-11,52
2012-12,38
2013-01,56
2013-02,52
2013-03,45
2013-04,54
2013-05,47
2013-06,48
2013-07,46
2013-08,49
2013-09,49
2013-10,55
2013-11,54
2013-12,38
2014-01,60
2014-02,61
2014-03,55
2014-04,51
2014-05,50
2014-06,47
2014-07,49
2014-08,46
2014-09,55
2014-10,54
2014-11,57
2014-12,41
2015-01,60
2015-02,62
2015-03,58
2015-04,53
2015-05,48
2015-06,56
2015-07,52
2015-08,45
2015-09,54
2015-10,58
2015-11,55
2015-12,47
2016-01,58
2016-02,60
2016-03,56
2016-04,60
2016-05,54
2016-06,54
2016-07,48
2016-08,48
2016-09,55
2016-10,54
2016-11,45
2016-12,31
2017-01,48
2017-02,52
2017-03,53
2017-04,42
2017-05,47
2017-06,39
2017-07,39
2017-08,38
2017-09,43
2017-10,44
2017-11,46
2017-12,32
2018-01,44
2018-02,47
2018-03,51
2018-04,51
2018-05,46
2018-06,51
2018-07,46
2018-08,45
2018-09,57
2018-10,60
2018-11,65
2018-12,59
2019-01,76
2019-02,75
2019-03,71
2019-04,65
2019-05,67
2019-06,60
2019-07,61
2019-08,58
2019-09,66
2019-10,64
2019-11,65
2019-12,53
2020-01,73
2020-02,69
2020-03,56
2020-04,50
2020-05,60
2020-06,66
2020-07,67
2020-08,66
2020-09,72
2020-10,69
2020-11,66
2020-12,55
2021-01,68
2021-02,76
2021-03,75
2021-04,73
2021-05,72
2021-06,70
2021-07,72
2021-08,70
2021-09,81
2021-10,76
2021-11,74
2021-12,67
2022-01,88
2022-02,87
2022-03,89
2022-04,75
2022-05,79
2022-06,69
2022-07,69
2022-08,75
2022-09,78
2022-10,76
2022-11,82
2022-12,66
2023-01,100
2023-02,86
2023-03,96
2023-04,80
2023-05,82
2023-06,81
2023-07,78
2023-08,84
2023-09,89
2023-10,86
2023-11,83
2023-12,61
2024-01,83
2024-02,80
2024-03,70
2024-04,75
2024-05,64
