Categoría: Todas las categorías

Mes,Psicólogo: (Alemania)
2010-01,47
2010-02,46
2010-03,48
2010-04,43
2010-05,42
2010-06,44
2010-07,39
2010-08,47
2010-09,49
2010-10,49
2010-11,51
2010-12,39
2011-01,52
2011-02,55
2011-03,50
2011-04,48
2011-05,50
2011-06,48
2011-07,49
2011-08,49
2011-09,55
2011-10,50
2011-11,58
2011-12,44
2012-01,57
2012-02,62
2012-03,54
2012-04,51
2012-05,49
2012-06,51
2012-07,49
2012-08,52
2012-09,52
2012-10,53
2012-11,49
2012-12,42
2013-01,59
2013-02,55
2013-03,50
2013-04,52
2013-05,49
2013-06,51
2013-07,47
2013-08,54
2013-09,55
2013-10,57
2013-11,59
2013-12,44
2014-01,67
2014-02,63
2014-03,56
2014-04,54
2014-05,54
2014-06,50
2014-07,58
2014-08,51
2014-09,57
2014-10,57
2014-11,60
2014-12,47
2015-01,62
2015-02,63
2015-03,55
2015-04,54
2015-05,54
2015-06,56
2015-07,56
2015-08,52
2015-09,61
2015-10,63
2015-11,60
2015-12,50
2016-01,69
2016-02,69
2016-03,63
2016-04,67
2016-05,59
2016-06,62
2016-07,53
2016-08,55
2016-09,66
2016-10,61
2016-11,84
2016-12,66
2017-01,85
2017-02,89
2017-03,87
2017-04,77
2017-05,85
2017-06,87
2017-07,84
2017-08,83
2017-09,80
2017-10,81
2017-11,84
2017-12,66
2018-01,88
2018-02,82
2018-03,75
2018-04,75
2018-05,70
2018-06,77
2018-07,69
2018-08,74
2018-09,78
2018-10,78
2018-11,82
2018-12,65
2019-01,90
2019-02,86
2019-03,77
2019-04,74
2019-05,75
2019-06,69
2019-07,73
2019-08,72
2019-09,82
2019-10,80
2019-11,83
2019-12,66
2020-01,91
2020-02,85
2020-03,63
2020-04,58
2020-05,72
2020-06,76
2020-07,80
2020-08,78
2020-09,85
2020-10,77
2020-11,82
2020-12,64
2021-01,78
2021-02,80
2021-03,76
2021-04,77
2021-05,75
2021-06,78
2021-07,77
2021-08,78
2021-09,85
2021-10,83
2021-11,82
2021-12,68
2022-01,94
2022-02,91
2022-03,86
2022-04,77
2022-05,86
2022-06,76
2022-07,74
2022-08,80
2022-09,87
2022-10,84
2022-11,89
2022-12,74
2023-01,100
2023-02,96
2023-03,90
2023-04,80
2023-05,77
2023-06,79
2023-07,73
2023-08,81
2023-09,80
2023-10,80
2023-11,84
2023-12,68
2024-01,94
2024-02,96
2024-03,84
2024-04,87
2024-05,78
