Categoría: Salud

Mes,Psicólogo: (Austria)
2010-01,55
2010-02,57
2010-03,0
2010-04,66
2010-05,0
2010-06,58
2010-07,0
2010-08,0
2010-09,82
2010-10,78
2010-11,89
2010-12,0
2011-01,53
2011-02,43
2011-03,47
2011-04,39
2011-05,60
2011-06,69
2011-07,61
2011-08,65
2011-09,71
2011-10,42
2011-11,65
2011-12,33
2012-01,30
2012-02,71
2012-03,41
2012-04,52
2012-05,50
2012-06,57
2012-07,56
2012-08,37
2012-09,38
2012-10,71
2012-11,48
2012-12,60
2013-01,52
2013-02,56
2013-03,49
2013-04,52
2013-05,52
2013-06,24
2013-07,41
2013-08,31
2013-09,66
2013-10,66
2013-11,64
2013-12,57
2014-01,71
2014-02,66
2014-03,57
2014-04,55
2014-05,55
2014-06,58
2014-07,59
2014-08,39
2014-09,57
2014-10,46
2014-11,71
2014-12,81
2015-01,70
2015-02,59
2015-03,54
2015-04,76
2015-05,55
2015-06,62
2015-07,73
2015-08,66
2015-09,65
2015-10,49
2015-11,70
2015-12,33
2016-01,66
2016-02,59
2016-03,68
2016-04,73
2016-05,80
2016-06,52
2016-07,43
2016-08,62
2016-09,56
2016-10,58
2016-11,74
2016-12,56
2017-01,76
2017-02,82
2017-03,62
2017-04,70
2017-05,74
2017-06,50
2017-07,66
2017-08,53
2017-09,75
2017-10,60
2017-11,69
2017-12,48
2018-01,65
2018-02,71
2018-03,69
2018-04,62
2018-05,71
2018-06,58
2018-07,57
2018-08,60
2018-09,63
2018-10,74
2018-11,63
2018-12,43
2019-01,75
2019-02,84
2019-03,72
2019-04,64
2019-05,78
2019-06,60
2019-07,55
2019-08,56
2019-09,80
2019-10,86
2019-11,74
2019-12,51
2020-01,86
2020-02,66
2020-03,52
2020-04,27
2020-05,61
2020-06,72
2020-07,58
2020-08,54
2020-09,67
2020-10,71
2020-11,54
2020-12,56
2021-01,70
2021-02,74
2021-03,72
2021-04,52
2021-05,69
2021-06,74
2021-07,56
2021-08,71
2021-09,69
2021-10,72
2021-11,71
2021-12,73
2022-01,78
2022-02,88
2022-03,74
2022-04,78
2022-05,88
2022-06,72
2022-07,72
2022-08,68
2022-09,70
2022-10,78
2022-11,80
2022-12,67
2023-01,92
2023-02,82
2023-03,94
2023-04,84
2023-05,72
2023-06,87
2023-07,72
2023-08,64
2023-09,65
2023-10,81
2023-11,92
2023-12,69
2024-01,96
2024-02,96
2024-03,96
2024-04,100
2024-05,72
