Categoría: Todas las categorías

Mes,Ansiedad: (Bélgica)
2010-01,21
2010-02,22
2010-03,22
2010-04,20
2010-05,22
2010-06,20
2010-07,18
2010-08,14
2010-09,16
2010-10,19
2010-11,21
2010-12,14
2011-01,21
2011-02,18
2011-03,20
2011-04,18
2011-05,22
2011-06,19
2011-07,16
2011-08,21
2011-09,23
2011-10,21
2011-11,19
2011-12,20
2012-01,27
2012-02,24
2012-03,23
2012-04,27
2012-05,21
2012-06,16
2012-07,17
2012-08,22
2012-09,19
2012-10,27
2012-11,24
2012-12,20
2013-01,24
2013-02,27
2013-03,28
2013-04,28
2013-05,29
2013-06,25
2013-07,22
2013-08,26
2013-09,26
2013-10,28
2013-11,26
2013-12,22
2014-01,27
2014-02,27
2014-03,29
2014-04,29
2014-05,32
2014-06,30
2014-07,28
2014-08,30
2014-09,29
2014-10,29
2014-11,30
2014-12,28
2015-01,31
2015-02,28
2015-03,38
2015-04,34
2015-05,37
2015-06,30
2015-07,26
2015-08,41
2015-09,30
2015-10,35
2015-11,37
2015-12,37
2016-01,40
2016-02,36
2016-03,39
2016-04,41
2016-05,44
2016-06,40
2016-07,35
2016-08,33
2016-09,42
2016-10,40
2016-11,41
2016-12,41
2017-01,45
2017-02,47
2017-03,46
2017-04,47
2017-05,47
2017-06,40
2017-07,43
2017-08,44
2017-09,46
2017-10,40
2017-11,43
2017-12,43
2018-01,47
2018-02,46
2018-03,56
2018-04,55
2018-05,50
2018-06,47
2018-07,46
2018-08,47
2018-09,47
2018-10,46
2018-11,50
2018-12,50
2019-01,62
2019-02,58
2019-03,55
2019-04,49
2019-05,52
2019-06,54
2019-07,51
2019-08,53
2019-09,60
2019-10,59
2019-11,57
2019-12,52
2020-01,58
2020-02,59
2020-03,63
2020-04,65
2020-05,61
2020-06,61
2020-07,59
2020-08,58
2020-09,65
2020-10,60
2020-11,73
2020-12,62
2021-01,67
2021-02,69
2021-03,69
2021-04,69
2021-05,71
2021-06,60
2021-07,62
2021-08,65
2021-09,67
2021-10,71
2021-11,76
2021-12,65
2022-01,70
2022-02,75
2022-03,87
2022-04,81
2022-05,86
2022-06,78
2022-07,74
2022-08,78
2022-09,75
2022-10,82
2022-11,86
2022-12,67
2023-01,82
2023-02,79
2023-03,88
2023-04,88
2023-05,88
2023-06,77
2023-07,71
2023-08,97
2023-09,91
2023-10,88
2023-11,100
2023-12,91
2024-01,93
2024-02,84
2024-03,86
2024-04,87
2024-05,95
