Categoría: Todas las categorías

Mes,Psicoterapia: (Bélgica)
2010-01,81
2010-02,84
2010-03,78
2010-04,64
2010-05,88
2010-06,70
2010-07,63
2010-08,62
2010-09,87
2010-10,80
2010-11,75
2010-12,73
2011-01,76
2011-02,84
2011-03,74
2011-04,64
2011-05,76
2011-06,74
2011-07,76
2011-08,76
2011-09,89
2011-10,79
2011-11,69
2011-12,75
2012-01,84
2012-02,86
2012-03,79
2012-04,75
2012-05,72
2012-06,75
2012-07,56
2012-08,74
2012-09,78
2012-10,60
2012-11,82
2012-12,52
2013-01,75
2013-02,78
2013-03,74
2013-04,73
2013-05,69
2013-06,67
2013-07,62
2013-08,63
2013-09,69
2013-10,90
2013-11,100
2013-12,75
2014-01,83
2014-02,88
2014-03,73
2014-04,74
2014-05,75
2014-06,78
2014-07,62
2014-08,68
2014-09,71
2014-10,79
2014-11,86
2014-12,63
2015-01,73
2015-02,83
2015-03,95
2015-04,67
2015-05,75
2015-06,73
2015-07,57
2015-08,68
2015-09,71
2015-10,83
2015-11,73
2015-12,69
2016-01,82
2016-02,93
2016-03,84
2016-04,76
2016-05,72
2016-06,98
2016-07,63
2016-08,67
2016-09,74
2016-10,68
2016-11,84
2016-12,63
2017-01,83
2017-02,74
2017-03,68
2017-04,63
2017-05,73
2017-06,59
2017-07,48
2017-08,55
2017-09,71
2017-10,77
2017-11,62
2017-12,51
2018-01,80
2018-02,64
2018-03,74
2018-04,55
2018-05,64
2018-06,60
2018-07,52
2018-08,55
2018-09,74
2018-10,76
2018-11,71
2018-12,67
2019-01,86
2019-02,82
2019-03,92
2019-04,79
2019-05,80
2019-06,69
2019-07,63
2019-08,61
2019-09,83
2019-10,91
2019-11,76
2019-12,61
2020-01,78
2020-02,82
2020-03,63
2020-04,52
2020-05,62
2020-06,68
2020-07,69
2020-08,72
2020-09,79
2020-10,79
2020-11,69
2020-12,62
2021-01,83
2021-02,94
2021-03,83
2021-04,81
2021-05,76
2021-06,65
2021-07,59
2021-08,68
2021-09,75
2021-10,61
2021-11,65
2021-12,67
2022-01,90
2022-02,88
2022-03,82
2022-04,69
2022-05,75
2022-06,69
2022-07,63
2022-08,70
2022-09,74
2022-10,79
2022-11,72
2022-12,64
2023-01,87
2023-02,78
2023-03,82
2023-04,67
2023-05,60
2023-06,78
2023-07,55
2023-08,66
2023-09,91
2023-10,71
2023-11,60
2023-12,44
2024-01,57
2024-02,47
2024-03,49
2024-04,43
2024-05,39
