Categoría: Todas las categorías

Mes,Depresión: (Croacia)
2010-01,79
2010-02,55
2010-03,77
2010-04,83
2010-05,85
2010-06,68
2010-07,69
2010-08,79
2010-09,80
2010-10,63
2010-11,79
2010-12,68
2011-01,82
2011-02,73
2011-03,84
2011-04,71
2011-05,79
2011-06,63
2011-07,73
2011-08,64
2011-09,72
2011-10,86
2011-11,84
2011-12,81
2012-01,96
2012-02,78
2012-03,86
2012-04,76
2012-05,75
2012-06,73
2012-07,73
2012-08,77
2012-09,78
2012-10,68
2012-11,71
2012-12,72
2013-01,80
2013-02,80
2013-03,66
2013-04,81
2013-05,71
2013-06,68
2013-07,66
2013-08,68
2013-09,69
2013-10,82
2013-11,75
2013-12,79
2014-01,86
2014-02,71
2014-03,69
2014-04,83
2014-05,82
2014-06,70
2014-07,70
2014-08,82
2014-09,69
2014-10,85
2014-11,82
2014-12,80
2015-01,90
2015-02,84
2015-03,97
2015-04,85
2015-05,80
2015-06,66
2015-07,77
2015-08,77
2015-09,71
2015-10,82
2015-11,77
2015-12,94
2016-01,86
2016-02,96
2016-03,85
2016-04,90
2016-05,95
2016-06,75
2016-07,76
2016-08,75
2016-09,88
2016-10,89
2016-11,96
2016-12,100
2017-01,62
2017-02,43
2017-03,44
2017-04,52
2017-05,53
2017-06,29
2017-07,37
2017-08,30
2017-09,37
2017-10,43
2017-11,37
2017-12,29
2018-01,32
2018-02,36
2018-03,46
2018-04,47
2018-05,42
2018-06,52
2018-07,37
2018-08,37
2018-09,55
2018-10,59
2018-11,88
2018-12,85
2019-01,78
2019-02,75
2019-03,80
2019-04,49
2019-05,58
2019-06,47
2019-07,53
2019-08,51
2019-09,49
2019-10,41
2019-11,46
2019-12,45
2020-01,53
2020-02,59
2020-03,40
2020-04,39
2020-05,48
2020-06,46
2020-07,53
2020-08,54
2020-09,44
2020-10,35
2020-11,46
2020-12,40
2021-01,43
2021-02,58
2021-03,62
2021-04,74
2021-05,68
2021-06,59
2021-07,56
2021-08,54
2021-09,55
2021-10,49
2021-11,58
2021-12,58
2022-01,53
2022-02,62
2022-03,49
2022-04,43
2022-05,41
2022-06,45
2022-07,51
2022-08,56
2022-09,51
2022-10,81
2022-11,74
2022-12,76
2023-01,94
2023-02,79
2023-03,88
2023-04,89
2023-05,74
2023-06,61
2023-07,67
2023-08,65
2023-09,74
2023-10,69
2023-11,76
2023-12,73
2024-01,84
2024-02,86
2024-03,74
2024-04,76
2024-05,68
