Categoría: Todas las categorías

Mes,Depresión: (España)
2010-01,56
2010-02,57
2010-03,58
2010-04,58
2010-05,57
2010-06,54
2010-07,52
2010-08,58
2010-09,56
2010-10,58
2010-11,60
2010-12,50
2011-01,58
2011-02,57
2011-03,58
2011-04,56
2011-05,58
2011-06,55
2011-07,51
2011-08,56
2011-09,59
2011-10,57
2011-11,56
2011-12,52
2012-01,57
2012-02,55
2012-03,56
2012-04,57
2012-05,57
2012-06,53
2012-07,49
2012-08,56
2012-09,55
2012-10,54
2012-11,51
2012-12,53
2013-01,49
2013-02,55
2013-03,58
2013-04,63
2013-05,57
2013-06,54
2013-07,51
2013-08,57
2013-09,59
2013-10,59
2013-11,59
2013-12,59
2014-01,60
2014-02,61
2014-03,60
2014-04,61
2014-05,62
2014-06,62
2014-07,59
2014-08,72
2014-09,61
2014-10,62
2014-11,62
2014-12,67
2015-01,61
2015-02,67
2015-03,72
2015-04,66
2015-05,67
2015-06,60
2015-07,61
2015-08,65
2015-09,61
2015-10,61
2015-11,64
2015-12,61
2016-01,65
2016-02,67
2016-03,65
2016-04,64
2016-05,66
2016-06,64
2016-07,62
2016-08,61
2016-09,61
2016-10,65
2016-11,68
2016-12,67
2017-01,68
2017-02,69
2017-03,73
2017-04,71
2017-05,68
2017-06,65
2017-07,68
2017-08,71
2017-09,68
2017-10,66
2017-11,63
2017-12,68
2018-01,79
2018-02,81
2018-03,67
2018-04,79
2018-05,84
2018-06,71
2018-07,67
2018-08,70
2018-09,71
2018-10,79
2018-11,74
2018-12,70
2019-01,76
2019-02,78
2019-03,80
2019-04,71
2019-05,71
2019-06,71
2019-07,72
2019-08,70
2019-09,78
2019-10,77
2019-11,77
2019-12,74
2020-01,82
2020-02,76
2020-03,60
2020-04,62
2020-05,71
2020-06,68
2020-07,60
2020-08,68
2020-09,69
2020-10,78
2020-11,71
2020-12,68
2021-01,72
2021-02,74
2021-03,82
2021-04,78
2021-05,78
2021-06,67
2021-07,64
2021-08,67
2021-09,64
2021-10,76
2021-11,75
2021-12,87
2022-01,96
2022-02,95
2022-03,100
2022-04,90
2022-05,88
2022-06,76
2022-07,71
2022-08,82
2022-09,79
2022-10,93
2022-11,97
2022-12,84
2023-01,92
2023-02,90
2023-03,93
2023-04,94
2023-05,83
2023-06,84
2023-07,73
2023-08,72
2023-09,72
2023-10,83
2023-11,84
2023-12,74
2024-01,87
2024-02,74
2024-03,76
2024-04,79
2024-05,85
