Categoría: Salud

Mes,Psicólogo: (Francia)
2010-01,20
2010-02,18
2010-03,19
2010-04,18
2010-05,17
2010-06,18
2010-07,14
2010-08,13
2010-09,22
2010-10,22
2010-11,23
2010-12,17
2011-01,24
2011-02,20
2011-03,21
2011-04,20
2011-05,22
2011-06,22
2011-07,21
2011-08,20
2011-09,24
2011-10,28
2011-11,28
2011-12,21
2012-01,27
2012-02,25
2012-03,28
2012-04,23
2012-05,21
2012-06,23
2012-07,19
2012-08,23
2012-09,27
2012-10,27
2012-11,25
2012-12,20
2013-01,27
2013-02,24
2013-03,25
2013-04,26
2013-05,24
2013-06,25
2013-07,22
2013-08,20
2013-09,30
2013-10,29
2013-11,31
2013-12,24
2014-01,31
2014-02,33
2014-03,29
2014-04,31
2014-05,27
2014-06,25
2014-07,26
2014-08,20
2014-09,33
2014-10,32
2014-11,31
2014-12,26
2015-01,33
2015-02,33
2015-03,38
2015-04,31
2015-05,28
2015-06,31
2015-07,25
2015-08,25
2015-09,39
2015-10,35
2015-11,36
2015-12,28
2016-01,40
2016-02,38
2016-03,39
2016-04,35
2016-05,36
2016-06,33
2016-07,28
2016-08,28
2016-09,44
2016-10,37
2016-11,49
2016-12,42
2017-01,56
2017-02,53
2017-03,58
2017-04,45
2017-05,47
2017-06,48
2017-07,41
2017-08,40
2017-09,55
2017-10,57
2017-11,58
2017-12,44
2018-01,59
2018-02,57
2018-03,59
2018-04,57
2018-05,53
2018-06,53
2018-07,41
2018-08,44
2018-09,58
2018-10,58
2018-11,63
2018-12,47
2019-01,66
2019-02,63
2019-03,67
2019-04,57
2019-05,54
2019-06,51
2019-07,45
2019-08,45
2019-09,68
2019-10,65
2019-11,65
2019-12,51
2020-01,75
2020-02,70
2020-03,53
2020-04,37
2020-05,50
2020-06,62
2020-07,51
2020-08,52
2020-09,73
2020-10,63
2020-11,66
2020-12,58
2021-01,77
2021-02,82
2021-03,81
2021-04,73
2021-05,73
2021-06,68
2021-07,60
2021-08,57
2021-09,86
2021-10,79
2021-11,75
2021-12,62
2022-01,83
2022-02,78
2022-03,90
2022-04,88
2022-05,94
2022-06,76
2022-07,61
2022-08,57
2022-09,81
2022-10,81
2022-11,85
2022-12,68
2023-01,81
2023-02,98
2023-03,96
2023-04,81
2023-05,77
2023-06,74
2023-07,65
2023-08,63
2023-09,82
2023-10,80
2023-11,85
2023-12,78
2024-01,97
2024-02,100
2024-03,92
2024-04,73
2024-05,71
