Categoría: Todas las categorías

Mes,Ansiedad: (Italia)
2010-01,27
2010-02,27
2010-03,29
2010-04,28
2010-05,28
2010-06,29
2010-07,31
2010-08,31
2010-09,31
2010-10,27
2010-11,29
2010-12,26
2011-01,29
2011-02,32
2011-03,32
2011-04,33
2011-05,33
2011-06,34
2011-07,33
2011-08,35
2011-09,34
2011-10,30
2011-11,31
2011-12,30
2012-01,34
2012-02,31
2012-03,38
2012-04,38
2012-05,36
2012-06,37
2012-07,32
2012-08,39
2012-09,35
2012-10,31
2012-11,30
2012-12,29
2013-01,31
2013-02,33
2013-03,33
2013-04,34
2013-05,34
2013-06,36
2013-07,35
2013-08,37
2013-09,37
2013-10,35
2013-11,32
2013-12,35
2014-01,38
2014-02,37
2014-03,36
2014-04,39
2014-05,39
2014-06,39
2014-07,39
2014-08,41
2014-09,42
2014-10,39
2014-11,39
2014-12,36
2015-01,39
2015-02,38
2015-03,44
2015-04,39
2015-05,40
2015-06,39
2015-07,41
2015-08,43
2015-09,45
2015-10,39
2015-11,44
2015-12,39
2016-01,57
2016-02,57
2016-03,56
2016-04,55
2016-05,56
2016-06,56
2016-07,51
2016-08,49
2016-09,57
2016-10,49
2016-11,57
2016-12,53
2017-01,56
2017-02,65
2017-03,65
2017-04,62
2017-05,67
2017-06,65
2017-07,65
2017-08,60
2017-09,60
2017-10,60
2017-11,60
2017-12,56
2018-01,66
2018-02,57
2018-03,63
2018-04,65
2018-05,62
2018-06,60
2018-07,57
2018-08,60
2018-09,58
2018-10,56
2018-11,57
2018-12,52
2019-01,60
2019-02,57
2019-03,57
2019-04,56
2019-05,56
2019-06,57
2019-07,58
2019-08,61
2019-09,60
2019-10,57
2019-11,59
2019-12,57
2020-01,57
2020-02,58
2020-03,64
2020-04,66
2020-05,65
2020-06,68
2020-07,62
2020-08,64
2020-09,63
2020-10,58
2020-11,62
2020-12,61
2021-01,68
2021-02,69
2021-03,71
2021-04,68
2021-05,66
2021-06,72
2021-07,72
2021-08,69
2021-09,71
2021-10,66
2021-11,69
2021-12,62
2022-01,69
2022-02,73
2022-03,99
2022-04,75
2022-05,71
2022-06,71
2022-07,75
2022-08,74
2022-09,68
2022-10,69
2022-11,70
2022-12,100
2023-01,79
2023-02,72
2023-03,77
2023-04,71
2023-05,79
2023-06,76
2023-07,73
2023-08,73
2023-09,77
2023-10,74
2023-11,68
2023-12,78
2024-01,75
2024-02,71
2024-03,75
2024-04,67
2024-05,69
