Categoría: Todas las categorías

Mes,Ansiedad: (Letonia)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,23
2011-02,0
2011-03,13
2011-04,15
2011-05,22
2011-06,17
2011-07,0
2011-08,26
2011-09,18
2011-10,24
2011-11,21
2011-12,15
2012-01,22
2012-02,14
2012-03,16
2012-04,26
2012-05,33
2012-06,17
2012-07,14
2012-08,0
2012-09,25
2012-10,11
2012-11,28
2012-12,22
2013-01,30
2013-02,19
2013-03,14
2013-04,30
2013-05,27
2013-06,34
2013-07,22
2013-08,27
2013-09,25
2013-10,20
2013-11,30
2013-12,26
2014-01,26
2014-02,25
2014-03,26
2014-04,19
2014-05,39
2014-06,28
2014-07,22
2014-08,27
2014-09,27
2014-10,30
2014-11,35
2014-12,16
2015-01,25
2015-02,32
2015-03,24
2015-04,25
2015-05,26
2015-06,35
2015-07,20
2015-08,27
2015-09,20
2015-10,26
2015-11,33
2015-12,25
2016-01,34
2016-02,28
2016-03,35
2016-04,23
2016-05,29
2016-06,33
2016-07,30
2016-08,19
2016-09,31
2016-10,44
2016-11,23
2016-12,29
2017-01,22
2017-02,23
2017-03,34
2017-04,31
2017-05,37
2017-06,30
2017-07,26
2017-08,33
2017-09,28
2017-10,33
2017-11,35
2017-12,33
2018-01,36
2018-02,28
2018-03,29
2018-04,34
2018-05,39
2018-06,39
2018-07,38
2018-08,35
2018-09,45
2018-10,44
2018-11,66
2018-12,45
2019-01,45
2019-02,48
2019-03,55
2019-04,58
2019-05,80
2019-06,60
2019-07,54
2019-08,49
2019-09,52
2019-10,54
2019-11,52
2019-12,44
2020-01,58
2020-02,47
2020-03,39
2020-04,44
2020-05,47
2020-06,44
2020-07,48
2020-08,42
2020-09,55
2020-10,46
2020-11,80
2020-12,41
2021-01,47
2021-02,53
2021-03,57
2021-04,61
2021-05,52
2021-06,71
2021-07,47
2021-08,50
2021-09,62
2021-10,62
2021-11,63
2021-12,79
2022-01,75
2022-02,82
2022-03,83
2022-04,87
2022-05,61
2022-06,84
2022-07,64
2022-08,58
2022-09,68
2022-10,86
2022-11,88
2022-12,68
2023-01,77
2023-02,58
2023-03,86
2023-04,75
2023-05,100
2023-06,73
2023-07,66
2023-08,64
2023-09,64
2023-10,80
2023-11,83
2023-12,76
2024-01,68
2024-02,74
2024-03,64
2024-04,85
2024-05,97
