Categoría: Todas las categorías

Mes,Psicoterapia: (Luxemburgo)
2010-01,100
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,80
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,39
2013-02,41
2013-03,0
2013-04,45
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,64
2013-10,0
2013-11,0
2013-12,0
2014-01,44
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,41
2014-08,0
2014-09,0
2014-10,48
2014-11,0
2014-12,44
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,42
2016-02,0
2016-03,33
2016-04,0
2016-05,0
2016-06,37
2016-07,0
2016-08,50
2016-09,43
2016-10,0
2016-11,0
2016-12,45
2017-01,47
2017-02,35
2017-03,30
2017-04,0
2017-05,44
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,30
2017-12,33
2018-01,0
2018-02,0
2018-03,34
2018-04,0
2018-05,0
2018-06,32
2018-07,28
2018-08,0
2018-09,0
2018-10,30
2018-11,30
2018-12,0
2019-01,32
2019-02,0
2019-03,45
2019-04,40
2019-05,40
2019-06,37
2019-07,52
2019-08,0
2019-09,41
2019-10,53
2019-11,41
2019-12,0
2020-01,43
2020-02,40
2020-03,34
2020-04,26
2020-05,30
2020-06,24
2020-07,25
2020-08,31
2020-09,52
2020-10,43
2020-11,38
2020-12,31
2021-01,38
2021-02,44
2021-03,45
2021-04,26
2021-05,38
2021-06,39
2021-07,27
2021-08,34
2021-09,52
2021-10,74
2021-11,54
2021-12,36
2022-01,58
2022-02,52
2022-03,64
2022-04,47
2022-05,47
2022-06,41
2022-07,29
2022-08,43
2022-09,62
2022-10,50
2022-11,42
2022-12,54
2023-01,71
2023-02,94
2023-03,76
2023-04,92
2023-05,99
2023-06,83
2023-07,59
2023-08,73
2023-09,65
2023-10,81
2023-11,48
2023-12,43
2024-01,56
2024-02,71
2024-03,29
2024-04,63
2024-05,23
