Categoría: Todas las categorías

Mes,Ansiedad: (Malta)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,31
2011-03,26
2011-04,0
2011-05,20
2011-06,0
2011-07,0
2011-08,27
2011-09,0
2011-10,0
2011-11,37
2011-12,34
2012-01,26
2012-02,31
2012-03,30
2012-04,21
2012-05,20
2012-06,30
2012-07,26
2012-08,0
2012-09,23
2012-10,32
2012-11,31
2012-12,42
2013-01,18
2013-02,26
2013-03,26
2013-04,41
2013-05,38
2013-06,31
2013-07,24
2013-08,25
2013-09,16
2013-10,24
2013-11,35
2013-12,34
2014-01,43
2014-02,46
2014-03,23
2014-04,42
2014-05,41
2014-06,43
2014-07,43
2014-08,46
2014-09,44
2014-10,37
2014-11,45
2014-12,23
2015-01,43
2015-02,39
2015-03,39
2015-04,44
2015-05,44
2015-06,39
2015-07,38
2015-08,36
2015-09,36
2015-10,51
2015-11,48
2015-12,56
2016-01,54
2016-02,49
2016-03,43
2016-04,44
2016-05,38
2016-06,54
2016-07,48
2016-08,41
2016-09,42
2016-10,56
2016-11,41
2016-12,74
2017-01,72
2017-02,43
2017-03,61
2017-04,52
2017-05,68
2017-06,55
2017-07,49
2017-08,56
2017-09,57
2017-10,69
2017-11,55
2017-12,57
2018-01,63
2018-02,52
2018-03,58
2018-04,71
2018-05,79
2018-06,44
2018-07,63
2018-08,67
2018-09,63
2018-10,76
2018-11,83
2018-12,77
2019-01,56
2019-02,59
2019-03,58
2019-04,73
2019-05,55
2019-06,61
2019-07,55
2019-08,70
2019-09,87
2019-10,66
2019-11,87
2019-12,44
2020-01,74
2020-02,72
2020-03,99
2020-04,83
2020-05,94
2020-06,75
2020-07,68
2020-08,86
2020-09,73
2020-10,78
2020-11,70
2020-12,66
2021-01,94
2021-02,74
2021-03,78
2021-04,76
2021-05,98
2021-06,82
2021-07,78
2021-08,82
2021-09,99
2021-10,77
2021-11,87
2021-12,66
2022-01,77
2022-02,100
2022-03,78
2022-04,89
2022-05,74
2022-06,73
2022-07,81
2022-08,72
2022-09,91
2022-10,73
2022-11,82
2022-12,65
2023-01,78
2023-02,74
2023-03,77
2023-04,83
2023-05,86
2023-06,73
2023-07,79
2023-08,83
2023-09,74
2023-10,80
2023-11,70
2023-12,64
2024-01,59
2024-02,61
2024-03,58
2024-04,90
2024-05,39
