Categoría: Todas las categorías

Mes,Ansiedad: (Alemania)
2010-01,22
2010-02,21
2010-03,22
2010-04,22
2010-05,23
2010-06,23
2010-07,21
2010-08,24
2010-09,23
2010-10,24
2010-11,24
2010-12,20
2011-01,24
2011-02,24
2011-03,25
2011-04,25
2011-05,25
2011-06,26
2011-07,24
2011-08,26
2011-09,26
2011-10,24
2011-11,25
2011-12,22
2012-01,26
2012-02,25
2012-03,27
2012-04,27
2012-05,26
2012-06,29
2012-07,27
2012-08,29
2012-09,27
2012-10,27
2012-11,29
2012-12,27
2013-01,28
2013-02,27
2013-03,27
2013-04,29
2013-05,26
2013-06,28
2013-07,28
2013-08,28
2013-09,28
2013-10,28
2013-11,28
2013-12,26
2014-01,31
2014-02,30
2014-03,28
2014-04,35
2014-05,29
2014-06,32
2014-07,32
2014-08,31
2014-09,30
2014-10,31
2014-11,30
2014-12,31
2015-01,36
2015-02,31
2015-03,31
2015-04,32
2015-05,30
2015-06,33
2015-07,32
2015-08,32
2015-09,36
2015-10,33
2015-11,39
2015-12,35
2016-01,39
2016-02,37
2016-03,36
2016-04,38
2016-05,37
2016-06,36
2016-07,32
2016-08,32
2016-09,33
2016-10,34
2016-11,65
2016-12,65
2017-01,74
2017-02,68
2017-03,67
2017-04,67
2017-05,67
2017-06,66
2017-07,65
2017-08,65
2017-09,65
2017-10,69
2017-11,64
2017-12,61
2018-01,73
2018-02,65
2018-03,62
2018-04,64
2018-05,63
2018-06,63
2018-07,59
2018-08,65
2018-09,62
2018-10,65
2018-11,65
2018-12,65
2019-01,69
2019-02,64
2019-03,68
2019-04,60
2019-05,63
2019-06,61
2019-07,67
2019-08,62
2019-09,65
2019-10,63
2019-11,64
2019-12,63
2020-01,68
2020-02,65
2020-03,78
2020-04,72
2020-05,68
2020-06,66
2020-07,64
2020-08,67
2020-09,69
2020-10,60
2020-11,65
2020-12,63
2021-01,72
2021-02,68
2021-03,69
2021-04,66
2021-05,67
2021-06,65
2021-07,63
2021-08,65
2021-09,64
2021-10,61
2021-11,65
2021-12,64
2022-01,73
2022-02,77
2022-03,90
2022-04,72
2022-05,69
2022-06,68
2022-07,68
2022-08,71
2022-09,100
2022-10,70
2022-11,65
2022-12,69
2023-01,79
2023-02,70
2023-03,73
2023-04,71
2023-05,71
2023-06,71
2023-07,66
2023-08,70
2023-09,69
2023-10,70
2023-11,69
2023-12,71
2024-01,74
2024-02,65
2024-03,60
2024-04,63
2024-05,55
