Categoría: Todas las categorías

Mes,Depresión: (Austria)
2010-01,37
2010-02,34
2010-03,30
2010-04,33
2010-05,33
2010-06,31
2010-07,28
2010-08,27
2010-09,30
2010-10,33
2010-11,34
2010-12,27
2011-01,34
2011-02,33
2011-03,34
2011-04,31
2011-05,33
2011-06,29
2011-07,28
2011-08,30
2011-09,32
2011-10,34
2011-11,36
2011-12,32
2012-01,35
2012-02,34
2012-03,38
2012-04,34
2012-05,36
2012-06,33
2012-07,33
2012-08,33
2012-09,33
2012-10,34
2012-11,40
2012-12,33
2013-01,40
2013-02,33
2013-03,33
2013-04,36
2013-05,34
2013-06,31
2013-07,32
2013-08,31
2013-09,34
2013-10,36
2013-11,38
2013-12,35
2014-01,41
2014-02,39
2014-03,38
2014-04,37
2014-05,39
2014-06,33
2014-07,35
2014-08,42
2014-09,37
2014-10,44
2014-11,43
2014-12,39
2015-01,37
2015-02,38
2015-03,42
2015-04,47
2015-05,38
2015-06,37
2015-07,33
2015-08,37
2015-09,39
2015-10,42
2015-11,40
2015-12,39
2016-01,40
2016-02,40
2016-03,41
2016-04,41
2016-05,42
2016-06,41
2016-07,37
2016-08,35
2016-09,38
2016-10,40
2016-11,12
2016-12,8
2017-01,9
2017-02,7
2017-03,9
2017-04,9
2017-05,9
2017-06,9
2017-07,8
2017-08,8
2017-09,9
2017-10,10
2017-11,10
2017-12,8
2018-01,8
2018-02,10
2018-03,14
2018-04,14
2018-05,14
2018-06,14
2018-07,13
2018-08,13
2018-09,14
2018-10,14
2018-11,15
2018-12,15
2019-01,16
2019-02,15
2019-03,15
2019-04,15
2019-05,15
2019-06,14
2019-07,60
2019-08,63
2019-09,61
2019-10,68
2019-11,74
2019-12,65
2020-01,69
2020-02,69
2020-03,50
2020-04,55
2020-05,60
2020-06,65
2020-07,56
2020-08,53
2020-09,29
2020-10,12
2020-11,12
2020-12,12
2021-01,12
2021-02,12
2021-03,12
2021-04,13
2021-05,12
2021-06,11
2021-07,9
2021-08,9
2021-09,11
2021-10,11
2021-11,11
2021-12,12
2022-01,28
2022-02,68
2022-03,81
2022-04,75
2022-05,74
2022-06,66
2022-07,66
2022-08,70
2022-09,69
2022-10,74
2022-11,77
2022-12,71
2023-01,100
2023-02,75
2023-03,78
2023-04,44
2023-05,16
2023-06,16
2023-07,13
2023-08,13
2023-09,16
2023-10,16
2023-11,17
2023-12,14
2024-01,17
2024-02,16
2024-03,16
2024-04,15
2024-05,16
