Categoría: Todas las categorías

Mes,Ansiedad: (Croacia)
2010-01,27
2010-02,34
2010-03,39
2010-04,42
2010-05,48
2010-06,41
2010-07,31
2010-08,36
2010-09,41
2010-10,32
2010-11,33
2010-12,31
2011-01,46
2011-02,41
2011-03,38
2011-04,46
2011-05,47
2011-06,45
2011-07,42
2011-08,34
2011-09,43
2011-10,39
2011-11,47
2011-12,45
2012-01,54
2012-02,41
2012-03,48
2012-04,48
2012-05,52
2012-06,52
2012-07,48
2012-08,48
2012-09,43
2012-10,51
2012-11,50
2012-12,40
2013-01,44
2013-02,48
2013-03,42
2013-04,56
2013-05,51
2013-06,46
2013-07,50
2013-08,53
2013-09,48
2013-10,51
2013-11,55
2013-12,52
2014-01,67
2014-02,58
2014-03,63
2014-04,59
2014-05,59
2014-06,54
2014-07,65
2014-08,63
2014-09,56
2014-10,62
2014-11,68
2014-12,54
2015-01,64
2015-02,63
2015-03,69
2015-04,64
2015-05,63
2015-06,51
2015-07,62
2015-08,58
2015-09,60
2015-10,65
2015-11,73
2015-12,66
2016-01,70
2016-02,66
2016-03,64
2016-04,72
2016-05,71
2016-06,66
2016-07,57
2016-08,65
2016-09,68
2016-10,69
2016-11,65
2016-12,67
2017-01,80
2017-02,97
2017-03,86
2017-04,86
2017-05,84
2017-06,76
2017-07,80
2017-08,75
2017-09,72
2017-10,84
2017-11,77
2017-12,86
2018-01,88
2018-02,82
2018-03,91
2018-04,73
2018-05,77
2018-06,78
2018-07,70
2018-08,73
2018-09,83
2018-10,87
2018-11,93
2018-12,88
2019-01,89
2019-02,90
2019-03,91
2019-04,89
2019-05,83
2019-06,71
2019-07,79
2019-08,79
2019-09,82
2019-10,85
2019-11,84
2019-12,76
2020-01,79
2020-02,80
2020-03,69
2020-04,83
2020-05,83
2020-06,78
2020-07,71
2020-08,82
2020-09,85
2020-10,78
2020-11,89
2020-12,100
2021-01,87
2021-02,87
2021-03,94
2021-04,87
2021-05,85
2021-06,83
2021-07,71
2021-08,75
2021-09,73
2021-10,73
2021-11,72
2021-12,83
2022-01,91
2022-02,87
2022-03,98
2022-04,84
2022-05,78
2022-06,88
2022-07,78
2022-08,85
2022-09,87
2022-10,89
2022-11,91
2022-12,73
2023-01,92
2023-02,91
2023-03,91
2023-04,96
2023-05,80
2023-06,74
2023-07,77
2023-08,76
2023-09,82
2023-10,74
2023-11,79
2023-12,82
2024-01,77
2024-02,89
2024-03,87
2024-04,82
2024-05,90
