Categoría: Todas las categorías

Mes,Psicoterapia: (Eslovaquia)
2010-01,100
2010-02,45
2010-03,63
2010-04,66
2010-05,58
2010-06,60
2010-07,47
2010-08,51
2010-09,59
2010-10,53
2010-11,61
2010-12,53
2011-01,52
2011-02,71
2011-03,69
2011-04,61
2011-05,55
2011-06,53
2011-07,35
2011-08,0
2011-09,42
2011-10,43
2011-11,34
2011-12,34
2012-01,50
2012-02,46
2012-03,40
2012-04,49
2012-05,40
2012-06,53
2012-07,43
2012-08,37
2012-09,31
2012-10,36
2012-11,38
2012-12,45
2013-01,57
2013-02,60
2013-03,36
2013-04,34
2013-05,41
2013-06,32
2013-07,26
2013-08,30
2013-09,41
2013-10,35
2013-11,34
2013-12,49
2014-01,50
2014-02,29
2014-03,35
2014-04,43
2014-05,47
2014-06,29
2014-07,26
2014-08,27
2014-09,27
2014-10,35
2014-11,50
2014-12,46
2015-01,53
2015-02,43
2015-03,37
2015-04,35
2015-05,39
2015-06,39
2015-07,33
2015-08,17
2015-09,32
2015-10,39
2015-11,49
2015-12,27
2016-01,41
2016-02,31
2016-03,31
2016-04,44
2016-05,44
2016-06,23
2016-07,29
2016-08,30
2016-09,26
2016-10,32
2016-11,25
2016-12,28
2017-01,42
2017-02,37
2017-03,35
2017-04,31
2017-05,42
2017-06,33
2017-07,26
2017-08,19
2017-09,32
2017-10,34
2017-11,30
2017-12,32
2018-01,27
2018-02,29
2018-03,36
2018-04,40
2018-05,42
2018-06,34
2018-07,23
2018-08,22
2018-09,33
2018-10,38
2018-11,42
2018-12,29
2019-01,42
2019-02,39
2019-03,39
2019-04,33
2019-05,32
2019-06,31
2019-07,21
2019-08,38
2019-09,27
2019-10,38
2019-11,39
2019-12,30
2020-01,38
2020-02,41
2020-03,17
2020-04,33
2020-05,40
2020-06,24
2020-07,36
2020-08,33
2020-09,35
2020-10,36
2020-11,30
2020-12,36
2021-01,39
2021-02,29
2021-03,28
2021-04,39
2021-05,39
2021-06,28
2021-07,30
2021-08,32
2021-09,32
2021-10,44
2021-11,50
2021-12,37
2022-01,54
2022-02,56
2022-03,45
2022-04,48
2022-05,50
2022-06,44
2022-07,36
2022-08,35
2022-09,48
2022-10,51
2022-11,55
2022-12,39
2023-01,56
2023-02,49
2023-03,54
2023-04,50
2023-05,39
2023-06,52
2023-07,41
2023-08,48
2023-09,58
2023-10,48
2023-11,37
2023-12,40
2024-01,43
2024-02,44
2024-03,32
2024-04,32
2024-05,45
