Categoría: Todas las categorías

Mes,Ansiedad: (Eslovenia)
2010-01,29
2010-02,35
2010-03,32
2010-04,29
2010-05,31
2010-06,26
2010-07,30
2010-08,28
2010-09,34
2010-10,30
2010-11,25
2010-12,35
2011-01,31
2011-02,24
2011-03,26
2011-04,35
2011-05,33
2011-06,38
2011-07,26
2011-08,27
2011-09,27
2011-10,34
2011-11,30
2011-12,25
2012-01,40
2012-02,36
2012-03,35
2012-04,34
2012-05,49
2012-06,36
2012-07,33
2012-08,35
2012-09,47
2012-10,47
2012-11,39
2012-12,44
2013-01,40
2013-02,36
2013-03,39
2013-04,46
2013-05,48
2013-06,35
2013-07,38
2013-08,45
2013-09,52
2013-10,41
2013-11,51
2013-12,43
2014-01,44
2014-02,42
2014-03,44
2014-04,40
2014-05,50
2014-06,43
2014-07,40
2014-08,49
2014-09,60
2014-10,54
2014-11,44
2014-12,53
2015-01,61
2015-02,58
2015-03,67
2015-04,58
2015-05,54
2015-06,49
2015-07,58
2015-08,47
2015-09,50
2015-10,59
2015-11,54
2015-12,55
2016-01,63
2016-02,63
2016-03,63
2016-04,57
2016-05,67
2016-06,65
2016-07,58
2016-08,40
2016-09,79
2016-10,67
2016-11,92
2016-12,59
2017-01,93
2017-02,72
2017-03,82
2017-04,82
2017-05,75
2017-06,62
2017-07,65
2017-08,79
2017-09,52
2017-10,72
2017-11,75
2017-12,75
2018-01,83
2018-02,68
2018-03,77
2018-04,74
2018-05,75
2018-06,59
2018-07,69
2018-08,74
2018-09,79
2018-10,82
2018-11,80
2018-12,87
2019-01,92
2019-02,67
2019-03,79
2019-04,73
2019-05,90
2019-06,81
2019-07,85
2019-08,64
2019-09,73
2019-10,78
2019-11,85
2019-12,69
2020-01,90
2020-02,80
2020-03,88
2020-04,75
2020-05,82
2020-06,76
2020-07,77
2020-08,82
2020-09,72
2020-10,63
2020-11,84
2020-12,81
2021-01,97
2021-02,95
2021-03,86
2021-04,89
2021-05,73
2021-06,72
2021-07,70
2021-08,78
2021-09,86
2021-10,79
2021-11,87
2021-12,70
2022-01,97
2022-02,86
2022-03,94
2022-04,100
2022-05,79
2022-06,74
2022-07,70
2022-08,88
2022-09,66
2022-10,92
2022-11,92
2022-12,90
2023-01,95
2023-02,98
2023-03,91
2023-04,84
2023-05,87
2023-06,83
2023-07,66
2023-08,81
2023-09,86
2023-10,86
2023-11,85
2023-12,71
2024-01,86
2024-02,95
2024-03,81
2024-04,87
2024-05,86
