Categoría: Todas las categorías

Mes,Depresión: (Eslovenia)
2010-01,74
2010-02,57
2010-03,57
2010-04,55
2010-05,83
2010-06,88
2010-07,47
2010-08,72
2010-09,44
2010-10,59
2010-11,69
2010-12,63
2011-01,57
2011-02,76
2011-03,71
2011-04,57
2011-05,65
2011-06,68
2011-07,55
2011-08,69
2011-09,63
2011-10,60
2011-11,62
2011-12,73
2012-01,62
2012-02,70
2012-03,71
2012-04,72
2012-05,70
2012-06,67
2012-07,73
2012-08,69
2012-09,68
2012-10,72
2012-11,63
2012-12,74
2013-01,66
2013-02,77
2013-03,77
2013-04,78
2013-05,80
2013-06,72
2013-07,65
2013-08,68
2013-09,73
2013-10,68
2013-11,79
2013-12,78
2014-01,68
2014-02,80
2014-03,70
2014-04,77
2014-05,78
2014-06,83
2014-07,82
2014-08,78
2014-09,75
2014-10,78
2014-11,85
2014-12,90
2015-01,98
2015-02,70
2015-03,86
2015-04,86
2015-05,75
2015-06,73
2015-07,69
2015-08,80
2015-09,77
2015-10,75
2015-11,84
2015-12,82
2016-01,100
2016-02,81
2016-03,87
2016-04,99
2016-05,85
2016-06,70
2016-07,83
2016-08,78
2016-09,93
2016-10,73
2016-11,52
2016-12,48
2017-01,39
2017-02,40
2017-03,55
2017-04,53
2017-05,43
2017-06,34
2017-07,44
2017-08,42
2017-09,33
2017-10,58
2017-11,55
2017-12,57
2018-01,51
2018-02,48
2018-03,60
2018-04,55
2018-05,51
2018-06,55
2018-07,53
2018-08,59
2018-09,43
2018-10,42
2018-11,61
2018-12,61
2019-01,64
2019-02,55
2019-03,66
2019-04,57
2019-05,52
2019-06,46
2019-07,62
2019-08,52
2019-09,48
2019-10,54
2019-11,56
2019-12,59
2020-01,64
2020-02,46
2020-03,45
2020-04,39
2020-05,42
2020-06,45
2020-07,43
2020-08,44
2020-09,54
2020-10,46
2020-11,48
2020-12,54
2021-01,50
2021-02,51
2021-03,38
2021-04,52
2021-05,55
2021-06,44
2021-07,45
2021-08,53
2021-09,41
2021-10,40
2021-11,46
2021-12,57
2022-01,64
2022-02,41
2022-03,46
2022-04,52
2022-05,52
2022-06,47
2022-07,48
2022-08,45
2022-09,41
2022-10,62
2022-11,61
2022-12,70
2023-01,66
2023-02,57
2023-03,92
2023-04,84
2023-05,86
2023-06,73
2023-07,56
2023-08,71
2023-09,64
2023-10,66
2023-11,79
2023-12,65
2024-01,83
2024-02,86
2024-03,66
2024-04,81
2024-05,72
