Categoría: Todas las categorías

Mes,Psicoterapia: (Eslovenia)
2010-01,55
2010-02,37
2010-03,51
2010-04,67
2010-05,43
2010-06,31
2010-07,0
2010-08,59
2010-09,33
2010-10,49
2010-11,66
2010-12,0
2011-01,37
2011-02,46
2011-03,46
2011-04,25
2011-05,52
2011-06,38
2011-07,41
2011-08,34
2011-09,40
2011-10,47
2011-11,45
2011-12,37
2012-01,49
2012-02,37
2012-03,48
2012-04,50
2012-05,54
2012-06,36
2012-07,49
2012-08,57
2012-09,59
2012-10,44
2012-11,46
2012-12,29
2013-01,50
2013-02,53
2013-03,43
2013-04,35
2013-05,44
2013-06,48
2013-07,34
2013-08,53
2013-09,66
2013-10,64
2013-11,57
2013-12,54
2014-01,50
2014-02,54
2014-03,54
2014-04,38
2014-05,53
2014-06,40
2014-07,33
2014-08,45
2014-09,48
2014-10,48
2014-11,44
2014-12,41
2015-01,50
2015-02,51
2015-03,49
2015-04,59
2015-05,47
2015-06,50
2015-07,49
2015-08,53
2015-09,47
2015-10,53
2015-11,57
2015-12,50
2016-01,58
2016-02,67
2016-03,65
2016-04,57
2016-05,50
2016-06,46
2016-07,49
2016-08,54
2016-09,67
2016-10,53
2016-11,64
2016-12,57
2017-01,65
2017-02,65
2017-03,57
2017-04,45
2017-05,45
2017-06,44
2017-07,36
2017-08,46
2017-09,50
2017-10,56
2017-11,57
2017-12,45
2018-01,60
2018-02,61
2018-03,53
2018-04,51
2018-05,44
2018-06,25
2018-07,38
2018-08,34
2018-09,50
2018-10,54
2018-11,41
2018-12,40
2019-01,56
2019-02,57
2019-03,53
2019-04,40
2019-05,46
2019-06,52
2019-07,43
2019-08,47
2019-09,58
2019-10,65
2019-11,64
2019-12,47
2020-01,73
2020-02,63
2020-03,38
2020-04,40
2020-05,56
2020-06,57
2020-07,51
2020-08,59
2020-09,64
2020-10,54
2020-11,51
2020-12,37
2021-01,64
2021-02,61
2021-03,52
2021-04,55
2021-05,49
2021-06,52
2021-07,41
2021-08,43
2021-09,44
2021-10,64
2021-11,50
2021-12,57
2022-01,58
2022-02,68
2022-03,68
2022-04,52
2022-05,47
2022-06,55
2022-07,57
2022-08,68
2022-09,71
2022-10,79
2022-11,77
2022-12,73
2023-01,66
2023-02,78
2023-03,100
2023-04,78
2023-05,76
2023-06,56
2023-07,58
2023-08,55
2023-09,78
2023-10,84
2023-11,81
2023-12,56
2024-01,67
2024-02,94
2024-03,73
2024-04,86
2024-05,73
