Categoría: Todas las categorías

Mes,Ansiedad: (España)
2010-01,36
2010-02,37
2010-03,35
2010-04,36
2010-05,38
2010-06,37
2010-07,33
2010-08,38
2010-09,36
2010-10,38
2010-11,38
2010-12,33
2011-01,41
2011-02,40
2011-03,36
2011-04,40
2011-05,39
2011-06,39
2011-07,37
2011-08,43
2011-09,39
2011-10,41
2011-11,42
2011-12,37
2012-01,38
2012-02,39
2012-03,42
2012-04,42
2012-05,41
2012-06,40
2012-07,39
2012-08,42
2012-09,42
2012-10,38
2012-11,41
2012-12,37
2013-01,37
2013-02,42
2013-03,38
2013-04,42
2013-05,39
2013-06,41
2013-07,38
2013-08,44
2013-09,43
2013-10,43
2013-11,42
2013-12,40
2014-01,46
2014-02,47
2014-03,48
2014-04,48
2014-05,47
2014-06,47
2014-07,45
2014-08,50
2014-09,47
2014-10,47
2014-11,50
2014-12,44
2015-01,51
2015-02,51
2015-03,59
2015-04,57
2015-05,51
2015-06,49
2015-07,46
2015-08,54
2015-09,55
2015-10,54
2015-11,53
2015-12,52
2016-01,56
2016-02,58
2016-03,58
2016-04,59
2016-05,62
2016-06,55
2016-07,48
2016-08,53
2016-09,57
2016-10,57
2016-11,61
2016-12,54
2017-01,62
2017-02,65
2017-03,69
2017-04,68
2017-05,67
2017-06,59
2017-07,61
2017-08,64
2017-09,66
2017-10,59
2017-11,59
2017-12,53
2018-01,67
2018-02,69
2018-03,67
2018-04,66
2018-05,66
2018-06,63
2018-07,62
2018-08,61
2018-09,62
2018-10,61
2018-11,56
2018-12,57
2019-01,59
2019-02,66
2019-03,72
2019-04,65
2019-05,68
2019-06,70
2019-07,70
2019-08,71
2019-09,69
2019-10,66
2019-11,64
2019-12,61
2020-01,69
2020-02,71
2020-03,84
2020-04,85
2020-05,80
2020-06,75
2020-07,72
2020-08,75
2020-09,77
2020-10,76
2020-11,81
2020-12,74
2021-01,79
2021-02,84
2021-03,81
2021-04,83
2021-05,85
2021-06,78
2021-07,80
2021-08,86
2021-09,88
2021-10,87
2021-11,85
2021-12,86
2022-01,91
2022-02,97
2022-03,100
2022-04,93
2022-05,92
2022-06,83
2022-07,86
2022-08,96
2022-09,89
2022-10,94
2022-11,88
2022-12,81
2023-01,86
2023-02,87
2023-03,89
2023-04,86
2023-05,89
2023-06,86
2023-07,82
2023-08,77
2023-09,83
2023-10,86
2023-11,89
2023-12,78
2024-01,82
2024-02,85
2024-03,90
2024-04,80
2024-05,83
