Categoría: Salud

Mes,Psicólogo: (Finlandia)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,48
2010-09,0
2010-10,65
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,35
2011-04,37
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,39
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,39
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,38
2012-09,0
2012-10,0
2012-11,50
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,41
2013-07,0
2013-08,0
2013-09,0
2013-10,28
2013-11,31
2013-12,0
2014-01,39
2014-02,30
2014-03,0
2014-04,34
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,39
2014-10,32
2014-11,26
2014-12,0
2015-01,35
2015-02,34
2015-03,24
2015-04,0
2015-05,0
2015-06,30
2015-07,29
2015-08,0
2015-09,27
2015-10,0
2015-11,29
2015-12,0
2016-01,0
2016-02,0
2016-03,29
2016-04,33
2016-05,0
2016-06,0
2016-07,33
2016-08,0
2016-09,28
2016-10,27
2016-11,81
2016-12,39
2017-01,64
2017-02,88
2017-03,86
2017-04,58
2017-05,79
2017-06,73
2017-07,53
2017-08,67
2017-09,90
2017-10,73
2017-11,66
2017-12,42
2018-01,82
2018-02,100
2018-03,92
2018-04,64
2018-05,66
2018-06,56
2018-07,54
2018-08,66
2018-09,92
2018-10,42
2018-11,93
2018-12,47
2019-01,80
2019-02,68
2019-03,85
2019-04,52
2019-05,59
2019-06,47
2019-07,39
2019-08,75
2019-09,52
2019-10,78
2019-11,79
2019-12,44
2020-01,75
2020-02,81
2020-03,65
2020-04,37
2020-05,61
2020-06,52
2020-07,52
2020-08,75
2020-09,82
2020-10,81
2020-11,70
2020-12,76
2021-01,65
2021-02,69
2021-03,75
2021-04,88
2021-05,65
2021-06,47
2021-07,37
2021-08,55
2021-09,64
2021-10,72
2021-11,61
2021-12,64
2022-01,85
2022-02,78
2022-03,76
2022-04,64
2022-05,65
2022-06,53
2022-07,34
2022-08,69
2022-09,70
2022-10,74
2022-11,73
2022-12,78
2023-01,64
2023-02,50
2023-03,53
2023-04,46
2023-05,31
2023-06,0
2023-07,23
2023-08,25
2023-09,22
2023-10,29
2023-11,59
2023-12,63
2024-01,89
2024-02,83
2024-03,55
2024-04,66
2024-05,76
