Categoría: Todas las categorías

Mes,Psicoterapia: (Italia)
2010-01,58
2010-02,60
2010-03,57
2010-04,58
2010-05,55
2010-06,60
2010-07,55
2010-08,53
2010-09,60
2010-10,62
2010-11,58
2010-12,47
2011-01,59
2011-02,61
2011-03,56
2011-04,53
2011-05,50
2011-06,54
2011-07,50
2011-08,46
2011-09,63
2011-10,59
2011-11,57
2011-12,46
2012-01,59
2012-02,57
2012-03,60
2012-04,53
2012-05,53
2012-06,50
2012-07,53
2012-08,46
2012-09,59
2012-10,59
2012-11,52
2012-12,45
2013-01,54
2013-02,52
2013-03,52
2013-04,51
2013-05,57
2013-06,50
2013-07,49
2013-08,39
2013-09,58
2013-10,61
2013-11,55
2013-12,46
2014-01,56
2014-02,57
2014-03,58
2014-04,56
2014-05,58
2014-06,52
2014-07,50
2014-08,42
2014-09,58
2014-10,61
2014-11,58
2014-12,45
2015-01,56
2015-02,61
2015-03,67
2015-04,58
2015-05,58
2015-06,55
2015-07,50
2015-08,46
2015-09,59
2015-10,63
2015-11,64
2015-12,54
2016-01,65
2016-02,69
2016-03,65
2016-04,66
2016-05,67
2016-06,57
2016-07,51
2016-08,46
2016-09,62
2016-10,61
2016-11,48
2016-12,43
2017-01,58
2017-02,59
2017-03,53
2017-04,57
2017-05,74
2017-06,65
2017-07,45
2017-08,41
2017-09,66
2017-10,71
2017-11,66
2017-12,49
2018-01,69
2018-02,59
2018-03,40
2018-04,39
2018-05,38
2018-06,42
2018-07,35
2018-08,28
2018-09,47
2018-10,51
2018-11,54
2018-12,49
2019-01,64
2019-02,65
2019-03,74
2019-04,65
2019-05,62
2019-06,55
2019-07,50
2019-08,43
2019-09,57
2019-10,56
2019-11,55
2019-12,47
2020-01,62
2020-02,53
2020-03,37
2020-04,44
2020-05,53
2020-06,57
2020-07,57
2020-08,49
2020-09,68
2020-10,58
2020-11,57
2020-12,54
2021-01,63
2021-02,69
2021-03,72
2021-04,67
2021-05,72
2021-06,66
2021-07,63
2021-08,61
2021-09,77
2021-10,70
2021-11,74
2021-12,58
2022-01,73
2022-02,75
2022-03,78
2022-04,66
2022-05,66
2022-06,70
2022-07,73
2022-08,61
2022-09,69
2022-10,84
2022-11,82
2022-12,70
2023-01,87
2023-02,81
2023-03,87
2023-04,91
2023-05,81
2023-06,83
2023-07,78
2023-08,70
2023-09,87
2023-10,93
2023-11,74
2023-12,83
2024-01,93
2024-02,93
2024-03,100
2024-04,91
2024-05,88
