Categoría: Todas las categorías

Mes,Ansiedad: (Países Bajos)
2010-01,16
2010-02,14
2010-03,20
2010-04,18
2010-05,17
2010-06,13
2010-07,15
2010-08,14
2010-09,18
2010-10,20
2010-11,20
2010-12,17
2011-01,16
2011-02,16
2011-03,16
2011-04,18
2011-05,20
2011-06,22
2011-07,15
2011-08,14
2011-09,18
2011-10,18
2011-11,19
2011-12,18
2012-01,21
2012-02,20
2012-03,20
2012-04,20
2012-05,19
2012-06,20
2012-07,18
2012-08,19
2012-09,23
2012-10,22
2012-11,20
2012-12,20
2013-01,23
2013-02,22
2013-03,24
2013-04,25
2013-05,23
2013-06,22
2013-07,22
2013-08,24
2013-09,26
2013-10,25
2013-11,25
2013-12,24
2014-01,25
2014-02,27
2014-03,29
2014-04,26
2014-05,32
2014-06,31
2014-07,30
2014-08,32
2014-09,34
2014-10,36
2014-11,32
2014-12,31
2015-01,35
2015-02,30
2015-03,35
2015-04,31
2015-05,39
2015-06,32
2015-07,28
2015-08,31
2015-09,34
2015-10,36
2015-11,38
2015-12,37
2016-01,42
2016-02,38
2016-03,40
2016-04,39
2016-05,36
2016-06,38
2016-07,35
2016-08,31
2016-09,37
2016-10,43
2016-11,38
2016-12,41
2017-01,41
2017-02,42
2017-03,41
2017-04,42
2017-05,39
2017-06,39
2017-07,37
2017-08,40
2017-09,39
2017-10,43
2017-11,44
2017-12,39
2018-01,47
2018-02,45
2018-03,58
2018-04,45
2018-05,54
2018-06,52
2018-07,43
2018-08,42
2018-09,47
2018-10,49
2018-11,43
2018-12,41
2019-01,48
2019-02,47
2019-03,43
2019-04,45
2019-05,51
2019-06,49
2019-07,42
2019-08,43
2019-09,48
2019-10,51
2019-11,48
2019-12,42
2020-01,50
2020-02,49
2020-03,45
2020-04,49
2020-05,48
2020-06,50
2020-07,49
2020-08,49
2020-09,55
2020-10,55
2020-11,55
2020-12,50
2021-01,60
2021-02,63
2021-03,66
2021-04,64
2021-05,57
2021-06,53
2021-07,49
2021-08,59
2021-09,61
2021-10,60
2021-11,61
2021-12,54
2022-01,70
2022-02,71
2022-03,77
2022-04,65
2022-05,64
2022-06,67
2022-07,60
2022-08,60
2022-09,67
2022-10,69
2022-11,71
2022-12,62
2023-01,72
2023-02,70
2023-03,88
2023-04,83
2023-05,87
2023-06,93
2023-07,76
2023-08,100
2023-09,82
2023-10,84
2023-11,89
2023-12,92
2024-01,93
2024-02,82
2024-03,86
2024-04,90
2024-05,87
