Categoría: Todas las categorías

Mes,Depresión: (Portugal)
2010-01,26
2010-02,22
2010-03,25
2010-04,25
2010-05,25
2010-06,25
2010-07,19
2010-08,19
2010-09,20
2010-10,54
2010-11,44
2010-12,24
2011-01,27
2011-02,23
2011-03,22
2011-04,20
2011-05,23
2011-06,21
2011-07,21
2011-08,21
2011-09,24
2011-10,34
2011-11,34
2011-12,25
2012-01,27
2012-02,24
2012-03,23
2012-04,23
2012-05,28
2012-06,24
2012-07,22
2012-08,21
2012-09,22
2012-10,22
2012-11,23
2012-12,20
2013-01,26
2013-02,24
2013-03,24
2013-04,23
2013-05,25
2013-06,24
2013-07,23
2013-08,20
2013-09,22
2013-10,24
2013-11,22
2013-12,23
2014-01,24
2014-02,24
2014-03,25
2014-04,27
2014-05,26
2014-06,23
2014-07,20
2014-08,26
2014-09,23
2014-10,25
2014-11,25
2014-12,22
2015-01,27
2015-02,23
2015-03,25
2015-04,27
2015-05,25
2015-06,25
2015-07,24
2015-08,26
2015-09,23
2015-10,24
2015-11,25
2015-12,26
2016-01,29
2016-02,28
2016-03,26
2016-04,31
2016-05,27
2016-06,21
2016-07,22
2016-08,22
2016-09,27
2016-10,28
2016-11,36
2016-12,33
2017-01,13
2017-02,12
2017-03,12
2017-04,11
2017-05,11
2017-06,7
2017-07,9
2017-08,12
2017-09,15
2017-10,19
2017-11,19
2017-12,27
2018-01,33
2018-02,31
2018-03,37
2018-04,36
2018-05,41
2018-06,41
2018-07,38
2018-08,32
2018-09,39
2018-10,42
2018-11,47
2018-12,40
2019-01,53
2019-02,53
2019-03,49
2019-04,44
2019-05,44
2019-06,58
2019-07,42
2019-08,37
2019-09,40
2019-10,43
2019-11,41
2019-12,100
2020-01,46
2020-02,47
2020-03,35
2020-04,31
2020-05,35
2020-06,51
2020-07,39
2020-08,49
2020-09,43
2020-10,59
2020-11,43
2020-12,46
2021-01,50
2021-02,48
2021-03,43
2021-04,45
2021-05,41
2021-06,36
2021-07,31
2021-08,29
2021-09,35
2021-10,36
2021-11,35
2021-12,41
2022-01,41
2022-02,40
2022-03,45
2022-04,44
2022-05,42
2022-06,53
2022-07,38
2022-08,38
2022-09,41
2022-10,47
2022-11,45
2022-12,46
2023-01,52
2023-02,45
2023-03,47
2023-04,38
2023-05,45
2023-06,59
2023-07,38
2023-08,38
2023-09,39
2023-10,60
2023-11,46
2023-12,37
2024-01,57
2024-02,50
2024-03,46
2024-04,38
2024-05,41
