Categoría: Todas las categorías

Mes,Ansiedad: (Portugal)
2010-01,35
2010-02,28
2010-03,33
2010-04,31
2010-05,33
2010-06,31
2010-07,34
2010-08,29
2010-09,34
2010-10,30
2010-11,33
2010-12,31
2011-01,37
2011-02,28
2011-03,30
2011-04,34
2011-05,32
2011-06,33
2011-07,34
2011-08,35
2011-09,36
2011-10,37
2011-11,33
2011-12,33
2012-01,37
2012-02,33
2012-03,37
2012-04,40
2012-05,35
2012-06,37
2012-07,33
2012-08,35
2012-09,35
2012-10,34
2012-11,35
2012-12,32
2013-01,37
2013-02,36
2013-03,35
2013-04,37
2013-05,34
2013-06,34
2013-07,34
2013-08,36
2013-09,42
2013-10,43
2013-11,39
2013-12,35
2014-01,38
2014-02,44
2014-03,39
2014-04,40
2014-05,42
2014-06,43
2014-07,39
2014-08,44
2014-09,48
2014-10,45
2014-11,44
2014-12,38
2015-01,44
2015-02,47
2015-03,42
2015-04,47
2015-05,48
2015-06,48
2015-07,42
2015-08,45
2015-09,48
2015-10,49
2015-11,51
2015-12,41
2016-01,53
2016-02,46
2016-03,46
2016-04,50
2016-05,49
2016-06,48
2016-07,43
2016-08,44
2016-09,52
2016-10,48
2016-11,51
2016-12,50
2017-01,59
2017-02,57
2017-03,67
2017-04,56
2017-05,60
2017-06,54
2017-07,60
2017-08,53
2017-09,63
2017-10,66
2017-11,63
2017-12,55
2018-01,63
2018-02,64
2018-03,63
2018-04,63
2018-05,58
2018-06,56
2018-07,58
2018-08,55
2018-09,65
2018-10,58
2018-11,66
2018-12,57
2019-01,69
2019-02,63
2019-03,64
2019-04,60
2019-05,64
2019-06,65
2019-07,66
2019-08,63
2019-09,68
2019-10,70
2019-11,68
2019-12,62
2020-01,70
2020-02,71
2020-03,79
2020-04,83
2020-05,76
2020-06,76
2020-07,75
2020-08,75
2020-09,84
2020-10,75
2020-11,78
2020-12,75
2021-01,87
2021-02,83
2021-03,88
2021-04,93
2021-05,86
2021-06,82
2021-07,78
2021-08,74
2021-09,84
2021-10,80
2021-11,78
2021-12,79
2022-01,89
2022-02,89
2022-03,93
2022-04,86
2022-05,88
2022-06,100
2022-07,87
2022-08,84
2022-09,92
2022-10,85
2022-11,83
2022-12,79
2023-01,92
2023-02,84
2023-03,93
2023-04,88
2023-05,91
2023-06,89
2023-07,87
2023-08,81
2023-09,93
2023-10,89
2023-11,91
2023-12,78
2024-01,93
2024-02,87
2024-03,80
2024-04,79
2024-05,83
