Categoría: Salud

Mes,Psicólogo: (Portugal)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,19
2011-10,0
2011-11,0
2011-12,21
2012-01,0
2012-02,20
2012-03,18
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,25
2012-09,22
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,22
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,16
2013-11,16
2013-12,0
2014-01,0
2014-02,0
2014-03,16
2014-04,16
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,21
2015-04,18
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,24
2015-12,23
2016-01,23
2016-02,32
2016-03,17
2016-04,15
2016-05,0
2016-06,0
2016-07,0
2016-08,19
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,14
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,15
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,15
2019-06,0
2019-07,0
2019-08,14
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,12
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,16
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,20
2021-10,22
2021-11,20
2021-12,0
2022-01,0
2022-02,18
2022-03,18
2022-04,10
2022-05,39
2022-06,30
2022-07,59
2022-08,50
2022-09,60
2022-10,66
2022-11,73
2022-12,58
2023-01,72
2023-02,69
2023-03,70
2023-04,62
2023-05,52
2023-06,54
2023-07,56
2023-08,51
2023-09,54
2023-10,64
2023-11,52
2023-12,40
2024-01,94
2024-02,92
2024-03,78
2024-04,100
2024-05,96
