date,/m/0jgxn,isPartial
2009-12-27,46,False
2010-01-03,100,False
2010-01-10,62,False
2010-01-17,53,False
2010-01-24,49,False
2010-01-31,56,False
2010-02-07,70,False
2010-02-14,65,False
2010-02-21,100,False
2010-02-28,36,False
2010-03-07,56,False
2010-03-14,43,False
2010-03-21,68,False
2010-03-28,58,False
2010-04-04,71,False
2010-04-11,74,False
2010-04-18,53,False
2010-04-25,67,False
2010-05-02,62,False
2010-05-09,37,False
2010-05-16,65,False
2010-05-23,48,False
2010-05-30,63,False
2010-06-06,79,False
2010-06-13,43,False
2010-06-20,51,False
2010-06-27,40,False
2010-07-04,42,False
2010-07-11,59,False
2010-07-18,71,False
2010-07-25,45,False
2010-08-01,42,False
2010-08-08,60,False
2010-08-15,68,False
2010-08-22,48,False
2010-08-29,77,False
2010-09-05,67,False
2010-09-12,63,False
2010-09-19,82,False
2010-09-26,72,False
2010-10-03,68,False
2010-10-10,68,False
2010-10-17,56,False
2010-10-24,78,False
2010-10-31,71,False
2010-11-07,63,False
2010-11-14,60,False
2010-11-21,71,False
2010-11-28,53,False
2010-12-05,46,False
2010-12-12,35,False
2010-12-19,45,False
2010-12-26,45,False
