date,/m/0k_9,isPartial
2010-12-26,0,False
2011-01-02,52,False
2011-01-09,61,False
2011-01-16,61,False
2011-01-23,51,False
2011-01-30,47,False
2011-02-06,63,False
2011-02-13,48,False
2011-02-20,71,False
2011-02-27,46,False
2011-03-06,67,False
2011-03-13,58,False
2011-03-20,49,False
2011-03-27,70,False
2011-04-03,33,False
2011-04-10,50,False
2011-04-17,70,False
2011-04-24,49,False
2011-05-01,62,False
2011-05-08,59,False
2011-05-15,68,False
2011-05-22,52,False
2011-05-29,71,False
2011-06-05,30,False
2011-06-12,52,False
2011-06-19,61,False
2011-06-26,100,False
2011-07-03,58,False
2011-07-10,57,False
2011-07-17,43,False
2011-07-24,53,False
2011-07-31,42,False
2011-08-07,51,False
2011-08-14,41,False
2011-08-21,43,False
2011-08-28,65,False
2011-09-04,65,False
2011-09-11,66,False
2011-09-18,47,False
2011-09-25,57,False
2011-10-02,55,False
2011-10-09,51,False
2011-10-16,62,False
2011-10-23,39,False
2011-10-30,70,False
2011-11-06,73,False
2011-11-13,45,False
2011-11-20,77,False
2011-11-27,57,False
2011-12-04,62,False
2011-12-11,55,False
2011-12-18,62,False
2011-12-25,53,False
