date,/m/0k_9,isPartial
2010-12-26,74,False
2011-01-02,100,False
2011-01-09,100,False
2011-01-16,75,False
2011-01-23,71,False
2011-01-30,71,False
2011-02-06,78,False
2011-02-13,58,False
2011-02-20,48,False
2011-02-27,78,False
2011-03-06,75,False
2011-03-13,72,False
2011-03-20,59,False
2011-03-27,81,False
2011-04-03,69,False
2011-04-10,99,False
2011-04-17,63,False
2011-04-24,80,False
2011-05-01,88,False
2011-05-08,73,False
2011-05-15,71,False
2011-05-22,67,False
2011-05-29,86,False
2011-06-05,68,False
2011-06-12,57,False
2011-06-19,68,False
2011-06-26,62,False
2011-07-03,76,False
2011-07-10,79,False
2011-07-17,72,False
2011-07-24,84,False
2011-07-31,83,False
2011-08-07,76,False
2011-08-14,74,False
2011-08-21,64,False
2011-08-28,72,False
2011-09-04,76,False
2011-09-11,78,False
2011-09-18,96,False
2011-09-25,94,False
2011-10-02,62,False
2011-10-09,78,False
2011-10-16,86,False
2011-10-23,90,False
2011-10-30,89,False
2011-11-06,84,False
2011-11-13,91,False
2011-11-20,84,False
2011-11-27,84,False
2011-12-04,71,False
2011-12-11,73,False
2011-12-18,66,False
2011-12-25,79,False
