date,/m/0k_9,isPartial
2010-12-26,0,False
2011-01-02,52,False
2011-01-09,32,False
2011-01-16,46,False
2011-01-23,100,False
2011-01-30,45,False
2011-02-06,42,False
2011-02-13,42,False
2011-02-20,57,False
2011-02-27,38,False
2011-03-06,29,False
2011-03-13,44,False
2011-03-20,63,False
2011-03-27,49,False
2011-04-03,64,False
2011-04-10,35,False
2011-04-17,55,False
2011-04-24,57,False
2011-05-01,50,False
2011-05-08,51,False
2011-05-15,49,False
2011-05-22,60,False
2011-05-29,46,False
2011-06-05,44,False
2011-06-12,64,False
2011-06-19,37,False
2011-06-26,48,False
2011-07-03,52,False
2011-07-10,43,False
2011-07-17,38,False
2011-07-24,38,False
2011-07-31,38,False
2011-08-07,0,False
2011-08-14,0,False
2011-08-21,38,False
2011-08-28,40,False
2011-09-04,52,False
2011-09-11,35,False
2011-09-18,35,False
2011-09-25,36,False
2011-10-02,27,False
2011-10-09,55,False
2011-10-16,36,False
2011-10-23,49,False
2011-10-30,44,False
2011-11-06,45,False
2011-11-13,50,False
2011-11-20,73,False
2011-11-27,76,False
2011-12-04,52,False
2011-12-11,67,False
2011-12-18,31,False
2011-12-25,33,False
