date,/m/0jgxn,isPartial
2010-12-26,41,False
2011-01-02,45,False
2011-01-09,44,False
2011-01-16,43,False
2011-01-23,39,False
2011-01-30,94,False
2011-02-06,85,False
2011-02-13,72,False
2011-02-20,100,False
2011-02-27,96,False
2011-03-06,51,False
2011-03-13,55,False
2011-03-20,67,False
2011-03-27,69,False
2011-04-03,44,False
2011-04-10,52,False
2011-04-17,33,False
2011-04-24,42,False
2011-05-01,54,False
2011-05-08,49,False
2011-05-15,37,False
2011-05-22,48,False
2011-05-29,51,False
2011-06-05,57,False
2011-06-12,36,False
2011-06-19,47,False
2011-06-26,65,False
2011-07-03,56,False
2011-07-10,62,False
2011-07-17,48,False
2011-07-24,45,False
2011-07-31,37,False
2011-08-07,36,False
2011-08-14,47,False
2011-08-21,33,False
2011-08-28,61,False
2011-09-04,72,False
2011-09-11,62,False
2011-09-18,51,False
2011-09-25,75,False
2011-10-02,46,False
2011-10-09,69,False
2011-10-16,53,False
2011-10-23,63,False
2011-10-30,55,False
2011-11-06,68,False
2011-11-13,50,False
2011-11-20,45,False
2011-11-27,55,False
2011-12-04,47,False
2011-12-11,56,False
2011-12-18,47,False
2011-12-25,38,False
