date,/m/03f_cb,isPartial
2012-12-30,63,False
2013-01-06,78,False
2013-01-13,78,False
2013-01-20,79,False
2013-01-27,61,False
2013-02-03,44,False
2013-02-10,79,False
2013-02-17,68,False
2013-02-24,62,False
2013-03-03,55,False
2013-03-10,71,False
2013-03-17,78,False
2013-03-24,71,False
2013-03-31,76,False
2013-04-07,79,False
2013-04-14,89,False
2013-04-21,55,False
2013-04-28,63,False
2013-05-05,69,False
2013-05-12,57,False
2013-05-19,55,False
2013-05-26,46,False
2013-06-02,49,False
2013-06-09,80,False
2013-06-16,56,False
2013-06-23,36,False
2013-06-30,48,False
2013-07-07,41,False
2013-07-14,67,False
2013-07-21,75,False
2013-07-28,80,False
2013-08-04,80,False
2013-08-11,26,False
2013-08-18,55,False
2013-08-25,71,False
2013-09-01,58,False
2013-09-08,57,False
2013-09-15,89,False
2013-09-22,73,False
2013-09-29,68,False
2013-10-06,65,False
2013-10-13,66,False
2013-10-20,99,False
2013-10-27,76,False
2013-11-03,88,False
2013-11-10,100,False
2013-11-17,99,False
2013-11-24,83,False
2013-12-01,84,False
2013-12-08,78,False
2013-12-15,76,False
2013-12-22,77,False
2013-12-29,81,False
