date,/m/03f_cb,isPartial
2012-12-30,81,False
2013-01-06,86,False
2013-01-13,90,False
2013-01-20,88,False
2013-01-27,82,False
2013-02-03,88,False
2013-02-10,80,False
2013-02-17,83,False
2013-02-24,79,False
2013-03-03,97,False
2013-03-10,89,False
2013-03-17,90,False
2013-03-24,77,False
2013-03-31,88,False
2013-04-07,86,False
2013-04-14,81,False
2013-04-21,99,False
2013-04-28,93,False
2013-05-05,100,False
2013-05-12,86,False
2013-05-19,95,False
2013-05-26,96,False
2013-06-02,85,False
2013-06-09,73,False
2013-06-16,82,False
2013-06-23,81,False
2013-06-30,77,False
2013-07-07,96,False
2013-07-14,87,False
2013-07-21,90,False
2013-07-28,91,False
2013-08-04,90,False
2013-08-11,99,False
2013-08-18,97,False
2013-08-25,88,False
2013-09-01,98,False
2013-09-08,70,False
2013-09-15,68,False
2013-09-22,79,False
2013-09-29,82,False
2013-10-06,82,False
2013-10-13,77,False
2013-10-20,83,False
2013-10-27,79,False
2013-11-03,90,False
2013-11-10,82,False
2013-11-17,83,False
2013-11-24,81,False
2013-12-01,95,False
2013-12-08,89,False
2013-12-15,85,False
2013-12-22,91,False
2013-12-29,88,False
