date,/m/06796,isPartial
2012-12-30,62,False
2013-01-06,97,False
2013-01-13,98,False
2013-01-20,95,False
2013-01-27,92,False
2013-02-03,91,False
2013-02-10,91,False
2013-02-17,90,False
2013-02-24,96,False
2013-03-03,87,False
2013-03-10,85,False
2013-03-17,91,False
2013-03-24,70,False
2013-03-31,77,False
2013-04-07,98,False
2013-04-14,93,False
2013-04-21,87,False
2013-04-28,78,False
2013-05-05,78,False
2013-05-12,84,False
2013-05-19,82,False
2013-05-26,77,False
2013-06-02,85,False
2013-06-09,84,False
2013-06-16,81,False
2013-06-23,87,False
2013-06-30,80,False
2013-07-07,77,False
2013-07-14,80,False
2013-07-21,79,False
2013-07-28,83,False
2013-08-04,87,False
2013-08-11,85,False
2013-08-18,93,False
2013-08-25,88,False
2013-09-01,87,False
2013-09-08,93,False
2013-09-15,84,False
2013-09-22,87,False
2013-09-29,77,False
2013-10-06,99,False
2013-10-13,93,False
2013-10-20,96,False
2013-10-27,86,False
2013-11-03,100,False
2013-11-10,99,False
2013-11-17,93,False
2013-11-24,81,False
2013-12-01,86,False
2013-12-08,87,False
2013-12-15,80,False
2013-12-22,42,False
2013-12-29,58,False
