date,/m/06796,isPartial
2012-12-30,41,False
2013-01-06,87,False
2013-01-13,90,False
2013-01-20,84,False
2013-01-27,93,False
2013-02-03,94,False
2013-02-10,84,False
2013-02-17,74,False
2013-02-24,100,False
2013-03-03,76,False
2013-03-10,78,False
2013-03-17,98,False
2013-03-24,78,False
2013-03-31,89,False
2013-04-07,90,False
2013-04-14,78,False
2013-04-21,73,False
2013-04-28,63,False
2013-05-05,88,False
2013-05-12,77,False
2013-05-19,80,False
2013-05-26,94,False
2013-06-02,93,False
2013-06-09,70,False
2013-06-16,72,False
2013-06-23,79,False
2013-06-30,75,False
2013-07-07,65,False
2013-07-14,79,False
2013-07-21,65,False
2013-07-28,59,False
2013-08-04,94,False
2013-08-11,82,False
2013-08-18,91,False
2013-08-25,76,False
2013-09-01,69,False
2013-09-08,80,False
2013-09-15,81,False
2013-09-22,84,False
2013-09-29,78,False
2013-10-06,85,False
2013-10-13,78,False
2013-10-20,74,False
2013-10-27,82,False
2013-11-03,91,False
2013-11-10,74,False
2013-11-17,87,False
2013-11-24,97,False
2013-12-01,89,False
2013-12-08,86,False
2013-12-15,74,False
2013-12-22,43,False
2013-12-29,60,False
