date,/m/0jgxn,isPartial
2012-12-30,66,False
2013-01-06,100,False
2013-01-13,88,False
2013-01-20,74,False
2013-01-27,78,False
2013-02-03,73,False
2013-02-10,73,False
2013-02-17,67,False
2013-02-24,89,False
2013-03-03,48,False
2013-03-10,81,False
2013-03-17,66,False
2013-03-24,47,False
2013-03-31,50,False
2013-04-07,69,False
2013-04-14,63,False
2013-04-21,66,False
2013-04-28,71,False
2013-05-05,56,False
2013-05-12,72,False
2013-05-19,73,False
2013-05-26,88,False
2013-06-02,60,False
2013-06-09,64,False
2013-06-16,69,False
2013-06-23,78,False
2013-06-30,43,False
2013-07-07,50,False
2013-07-14,74,False
2013-07-21,60,False
2013-07-28,63,False
2013-08-04,63,False
2013-08-11,56,False
2013-08-18,62,False
2013-08-25,65,False
2013-09-01,77,False
2013-09-08,60,False
2013-09-15,86,False
2013-09-22,68,False
2013-09-29,70,False
2013-10-06,87,False
2013-10-13,62,False
2013-10-20,61,False
2013-10-27,69,False
2013-11-03,89,False
2013-11-10,72,False
2013-11-17,83,False
2013-11-24,76,False
2013-12-01,79,False
2013-12-08,77,False
2013-12-15,56,False
2013-12-22,32,False
2013-12-29,63,False
