date,/m/03f_cb,isPartial
2013-12-29,65,False
2014-01-05,95,False
2014-01-12,83,False
2014-01-19,74,False
2014-01-26,76,False
2014-02-02,71,False
2014-02-09,82,False
2014-02-16,86,False
2014-02-23,83,False
2014-03-02,68,False
2014-03-09,78,False
2014-03-16,83,False
2014-03-23,73,False
2014-03-30,72,False
2014-04-06,78,False
2014-04-13,74,False
2014-04-20,77,False
2014-04-27,78,False
2014-05-04,86,False
2014-05-11,72,False
2014-05-18,73,False
2014-05-25,82,False
2014-06-01,59,False
2014-06-08,60,False
2014-06-15,68,False
2014-06-22,57,False
2014-06-29,75,False
2014-07-06,61,False
2014-07-13,90,False
2014-07-20,69,False
2014-07-27,60,False
2014-08-03,61,False
2014-08-10,100,False
2014-08-17,76,False
2014-08-24,88,False
2014-08-31,82,False
2014-09-07,80,False
2014-09-14,66,False
2014-09-21,73,False
2014-09-28,74,False
2014-10-05,74,False
2014-10-12,91,False
2014-10-19,98,False
2014-10-26,87,False
2014-11-02,93,False
2014-11-09,93,False
2014-11-16,83,False
2014-11-23,83,False
2014-11-30,75,False
2014-12-07,75,False
2014-12-14,98,False
2014-12-21,76,False
2014-12-28,79,False
