date,/m/03f_cb,isPartial
2013-12-29,0,False
2014-01-05,67,False
2014-01-12,48,False
2014-01-19,76,False
2014-01-26,64,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,67,False
2014-02-23,52,False
2014-03-02,78,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,60,False
2014-03-30,76,False
2014-04-06,74,False
2014-04-13,57,False
2014-04-20,0,False
2014-04-27,59,False
2014-05-04,53,False
2014-05-11,83,False
2014-05-18,78,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,69,False
2014-06-22,0,False
2014-06-29,60,False
2014-07-06,58,False
2014-07-13,91,False
2014-07-20,62,False
2014-07-27,74,False
2014-08-03,79,False
2014-08-10,100,False
2014-08-17,76,False
2014-08-24,74,False
2014-08-31,0,False
2014-09-07,60,False
2014-09-14,0,False
2014-09-21,75,False
2014-09-28,79,False
2014-10-05,71,False
2014-10-12,0,False
2014-10-19,75,False
2014-10-26,75,False
2014-11-02,80,False
2014-11-09,84,False
2014-11-16,60,False
2014-11-23,88,False
2014-11-30,81,False
2014-12-07,84,False
2014-12-14,75,False
2014-12-21,0,False
2014-12-28,71,False
