date,/m/06796,isPartial
2013-12-29,73,False
2014-01-05,88,False
2014-01-12,81,False
2014-01-19,93,False
2014-01-26,96,False
2014-02-02,85,False
2014-02-09,100,False
2014-02-16,98,False
2014-02-23,78,False
2014-03-02,66,False
2014-03-09,86,False
2014-03-16,69,False
2014-03-23,82,False
2014-03-30,67,False
2014-04-06,30,False
2014-04-13,74,False
2014-04-20,69,False
2014-04-27,80,False
2014-05-04,84,False
2014-05-11,68,False
2014-05-18,74,False
2014-05-25,79,False
2014-06-01,98,False
2014-06-08,70,False
2014-06-15,95,False
2014-06-22,73,False
2014-06-29,76,False
2014-07-06,61,False
2014-07-13,62,False
2014-07-20,53,False
2014-07-27,76,False
2014-08-03,86,False
2014-08-10,61,False
2014-08-17,49,False
2014-08-24,68,False
2014-08-31,61,False
2014-09-07,81,False
2014-09-14,64,False
2014-09-21,75,False
2014-09-28,86,False
2014-10-05,90,False
2014-10-12,80,False
2014-10-19,65,False
2014-10-26,74,False
2014-11-02,79,False
2014-11-09,81,False
2014-11-16,95,False
2014-11-23,64,False
2014-11-30,80,False
2014-12-07,47,False
2014-12-14,64,False
2014-12-21,50,False
2014-12-28,66,False
