date,/m/0k_9,isPartial
2014-12-28,66,False
2015-01-04,93,False
2015-01-11,78,False
2015-01-18,73,False
2015-01-25,89,False
2015-02-01,69,False
2015-02-08,61,False
2015-02-15,76,False
2015-02-22,71,False
2015-03-01,64,False
2015-03-08,84,False
2015-03-15,87,False
2015-03-22,69,False
2015-03-29,74,False
2015-04-05,81,False
2015-04-12,73,False
2015-04-19,76,False
2015-04-26,82,False
2015-05-03,76,False
2015-05-10,81,False
2015-05-17,60,False
2015-05-24,72,False
2015-05-31,88,False
2015-06-07,88,False
2015-06-14,79,False
2015-06-21,81,False
2015-06-28,65,False
2015-07-05,79,False
2015-07-12,76,False
2015-07-19,71,False
2015-07-26,65,False
2015-08-02,64,False
2015-08-09,80,False
2015-08-16,82,False
2015-08-23,85,False
2015-08-30,70,False
2015-09-06,83,False
2015-09-13,92,False
2015-09-20,77,False
2015-09-27,71,False
2015-10-04,81,False
2015-10-11,94,False
2015-10-18,95,False
2015-10-25,76,False
2015-11-01,84,False
2015-11-08,83,False
2015-11-15,96,False
2015-11-22,81,False
2015-11-29,100,False
2015-12-06,74,False
2015-12-13,83,False
2015-12-20,78,False
2015-12-27,81,False
