date,/m/03f_cb,isPartial
2014-12-28,93,False
2015-01-04,58,False
2015-01-11,63,False
2015-01-18,100,False
2015-01-25,81,False
2015-02-01,78,False
2015-02-08,64,False
2015-02-15,74,False
2015-02-22,86,False
2015-03-01,73,False
2015-03-08,81,False
2015-03-15,65,False
2015-03-22,72,False
2015-03-29,80,False
2015-04-05,80,False
2015-04-12,79,False
2015-04-19,75,False
2015-04-26,84,False
2015-05-03,83,False
2015-05-10,81,False
2015-05-17,81,False
2015-05-24,84,False
2015-05-31,78,False
2015-06-07,82,False
2015-06-14,72,False
2015-06-21,72,False
2015-06-28,59,False
2015-07-05,75,False
2015-07-12,77,False
2015-07-19,77,False
2015-07-26,80,False
2015-08-02,72,False
2015-08-09,63,False
2015-08-16,65,False
2015-08-23,93,False
2015-08-30,68,False
2015-09-06,61,False
2015-09-13,78,False
2015-09-20,80,False
2015-09-27,74,False
2015-10-04,75,False
2015-10-11,77,False
2015-10-18,69,False
2015-10-25,62,False
2015-11-01,99,False
2015-11-08,80,False
2015-11-15,84,False
2015-11-22,74,False
2015-11-29,89,False
2015-12-06,86,False
2015-12-13,96,False
2015-12-20,90,False
2015-12-27,80,False
