date,/m/03f_cb,isPartial
2014-12-28,67,False
2015-01-04,100,False
2015-01-11,94,False
2015-01-18,73,False
2015-01-25,88,False
2015-02-01,80,False
2015-02-08,75,False
2015-02-15,81,False
2015-02-22,80,False
2015-03-01,90,False
2015-03-08,84,False
2015-03-15,69,False
2015-03-22,83,False
2015-03-29,84,False
2015-04-05,100,False
2015-04-12,91,False
2015-04-19,79,False
2015-04-26,82,False
2015-05-03,98,False
2015-05-10,80,False
2015-05-17,81,False
2015-05-24,77,False
2015-05-31,73,False
2015-06-07,69,False
2015-06-14,68,False
2015-06-21,82,False
2015-06-28,82,False
2015-07-05,61,False
2015-07-12,67,False
2015-07-19,83,False
2015-07-26,82,False
2015-08-02,70,False
2015-08-09,82,False
2015-08-16,96,False
2015-08-23,80,False
2015-08-30,52,False
2015-09-06,68,False
2015-09-13,62,False
2015-09-20,88,False
2015-09-27,84,False
2015-10-04,80,False
2015-10-11,80,False
2015-10-18,83,False
2015-10-25,71,False
2015-11-01,87,False
2015-11-08,70,False
2015-11-15,72,False
2015-11-22,74,False
2015-11-29,99,False
2015-12-06,92,False
2015-12-13,84,False
2015-12-20,60,False
2015-12-27,87,False
