date,/m/06796,isPartial
2014-12-28,46,False
2015-01-04,77,False
2015-01-11,92,False
2015-01-18,89,False
2015-01-25,97,False
2015-02-01,84,False
2015-02-08,78,False
2015-02-15,87,False
2015-02-22,94,False
2015-03-01,94,False
2015-03-08,96,False
2015-03-15,89,False
2015-03-22,100,False
2015-03-29,84,False
2015-04-05,82,False
2015-04-12,82,False
2015-04-19,88,False
2015-04-26,80,False
2015-05-03,80,False
2015-05-10,75,False
2015-05-17,78,False
2015-05-24,94,False
2015-05-31,72,False
2015-06-07,79,False
2015-06-14,79,False
2015-06-21,81,False
2015-06-28,82,False
2015-07-05,86,False
2015-07-12,82,False
2015-07-19,65,False
2015-07-26,70,False
2015-08-02,74,False
2015-08-09,70,False
2015-08-16,77,False
2015-08-23,68,False
2015-08-30,67,False
2015-09-06,78,False
2015-09-13,76,False
2015-09-20,64,False
2015-09-27,95,False
2015-10-04,97,False
2015-10-11,80,False
2015-10-18,87,False
2015-10-25,95,False
2015-11-01,95,False
2015-11-08,83,False
2015-11-15,98,False
2015-11-22,94,False
2015-11-29,88,False
2015-12-06,78,False
2015-12-13,74,False
2015-12-20,59,False
2015-12-27,76,False
