date,/m/0k_9,isPartial
2015-12-27,83,False
2016-01-03,83,False
2016-01-10,90,False
2016-01-17,89,False
2016-01-24,84,False
2016-01-31,86,False
2016-02-07,90,False
2016-02-14,92,False
2016-02-21,89,False
2016-02-28,89,False
2016-03-06,86,False
2016-03-13,91,False
2016-03-20,89,False
2016-03-27,92,False
2016-04-03,89,False
2016-04-10,91,False
2016-04-17,90,False
2016-04-24,94,False
2016-05-01,92,False
2016-05-08,100,False
2016-05-15,94,False
2016-05-22,97,False
2016-05-29,94,False
2016-06-05,97,False
2016-06-12,86,False
2016-06-19,82,False
2016-06-26,79,False
2016-07-03,81,False
2016-07-10,84,False
2016-07-17,82,False
2016-07-24,92,False
2016-07-31,87,False
2016-08-07,80,False
2016-08-14,85,False
2016-08-21,91,False
2016-08-28,95,False
2016-09-04,89,False
2016-09-11,95,False
2016-09-18,95,False
2016-09-25,83,False
2016-10-02,90,False
2016-10-09,84,False
2016-10-16,90,False
2016-10-23,83,False
2016-10-30,84,False
2016-11-06,94,False
2016-11-13,89,False
2016-11-20,92,False
2016-11-27,90,False
2016-12-04,90,False
2016-12-11,90,False
2016-12-18,79,False
2016-12-25,79,False
