date,/m/0k_9,isPartial
2015-12-27,63,False
2016-01-03,81,False
2016-01-10,81,False
2016-01-17,84,False
2016-01-24,83,False
2016-01-31,81,False
2016-02-07,93,False
2016-02-14,87,False
2016-02-21,84,False
2016-02-28,92,False
2016-03-06,78,False
2016-03-13,92,False
2016-03-20,89,False
2016-03-27,91,False
2016-04-03,83,False
2016-04-10,89,False
2016-04-17,85,False
2016-04-24,85,False
2016-05-01,87,False
2016-05-08,87,False
2016-05-15,86,False
2016-05-22,80,False
2016-05-29,84,False
2016-06-05,82,False
2016-06-12,74,False
2016-06-19,73,False
2016-06-26,74,False
2016-07-03,75,False
2016-07-10,77,False
2016-07-17,77,False
2016-07-24,70,False
2016-07-31,73,False
2016-08-07,76,False
2016-08-14,68,False
2016-08-21,74,False
2016-08-28,88,False
2016-09-04,100,False
2016-09-11,78,False
2016-09-18,87,False
2016-09-25,77,False
2016-10-02,81,False
2016-10-09,79,False
2016-10-16,83,False
2016-10-23,78,False
2016-10-30,87,False
2016-11-06,85,False
2016-11-13,88,False
2016-11-20,89,False
2016-11-27,79,False
2016-12-04,81,False
2016-12-11,78,False
2016-12-18,83,False
2016-12-25,80,False
