date,/m/03f_cb,isPartial
2015-12-27,90,False
2016-01-03,89,False
2016-01-10,56,False
2016-01-17,99,False
2016-01-24,81,False
2016-01-31,81,False
2016-02-07,63,False
2016-02-14,85,False
2016-02-21,59,False
2016-02-28,69,False
2016-03-06,96,False
2016-03-13,100,False
2016-03-20,78,False
2016-03-27,58,False
2016-04-03,96,False
2016-04-10,76,False
2016-04-17,85,False
2016-04-24,48,False
2016-05-01,81,False
2016-05-08,77,False
2016-05-15,80,False
2016-05-22,68,False
2016-05-29,59,False
2016-06-05,54,False
2016-06-12,68,False
2016-06-19,90,False
2016-06-26,94,False
2016-07-03,69,False
2016-07-10,89,False
2016-07-17,79,False
2016-07-24,46,False
2016-07-31,93,False
2016-08-07,81,False
2016-08-14,68,False
2016-08-21,52,False
2016-08-28,58,False
2016-09-04,49,False
2016-09-11,73,False
2016-09-18,69,False
2016-09-25,79,False
2016-10-02,78,False
2016-10-09,74,False
2016-10-16,95,False
2016-10-23,83,False
2016-10-30,60,False
2016-11-06,73,False
2016-11-13,67,False
2016-11-20,81,False
2016-11-27,87,False
2016-12-04,71,False
2016-12-11,80,False
2016-12-18,0,False
2016-12-25,75,False
