date,/m/03f_cb,isPartial
2015-12-27,90,False
2016-01-03,72,False
2016-01-10,81,False
2016-01-17,55,False
2016-01-24,71,False
2016-01-31,65,False
2016-02-07,100,False
2016-02-14,66,False
2016-02-21,76,False
2016-02-28,74,False
2016-03-06,74,False
2016-03-13,78,False
2016-03-20,62,False
2016-03-27,78,False
2016-04-03,75,False
2016-04-10,92,False
2016-04-17,84,False
2016-04-24,57,False
2016-05-01,75,False
2016-05-08,97,False
2016-05-15,90,False
2016-05-22,76,False
2016-05-29,55,False
2016-06-05,67,False
2016-06-12,68,False
2016-06-19,64,False
2016-06-26,70,False
2016-07-03,59,False
2016-07-10,56,False
2016-07-17,74,False
2016-07-24,60,False
2016-07-31,53,False
2016-08-07,57,False
2016-08-14,58,False
2016-08-21,69,False
2016-08-28,93,False
2016-09-04,71,False
2016-09-11,72,False
2016-09-18,68,False
2016-09-25,83,False
2016-10-02,64,False
2016-10-09,79,False
2016-10-16,76,False
2016-10-23,78,False
2016-10-30,84,False
2016-11-06,83,False
2016-11-13,70,False
2016-11-20,98,False
2016-11-27,69,False
2016-12-04,89,False
2016-12-11,69,False
2016-12-18,90,False
2016-12-25,100,False
