date,/m/06796,isPartial
2015-12-27,74,False
2016-01-03,86,False
2016-01-10,94,False
2016-01-17,99,False
2016-01-24,95,False
2016-01-31,98,False
2016-02-07,88,False
2016-02-14,92,False
2016-02-21,95,False
2016-02-28,90,False
2016-03-06,100,False
2016-03-13,96,False
2016-03-20,83,False
2016-03-27,86,False
2016-04-03,97,False
2016-04-10,99,False
2016-04-17,91,False
2016-04-24,86,False
2016-05-01,91,False
2016-05-08,92,False
2016-05-15,90,False
2016-05-22,86,False
2016-05-29,86,False
2016-06-05,82,False
2016-06-12,82,False
2016-06-19,83,False
2016-06-26,74,False
2016-07-03,77,False
2016-07-10,73,False
2016-07-17,70,False
2016-07-24,61,False
2016-07-31,63,False
2016-08-07,57,False
2016-08-14,48,False
2016-08-21,73,False
2016-08-28,87,False
2016-09-04,84,False
2016-09-11,92,False
2016-09-18,87,False
2016-09-25,90,False
2016-10-02,90,False
2016-10-09,84,False
2016-10-16,84,False
2016-10-23,96,False
2016-10-30,65,False
2016-11-06,69,False
2016-11-13,65,False
2016-11-20,65,False
2016-11-27,74,False
2016-12-04,58,False
2016-12-11,73,False
2016-12-18,64,False
2016-12-25,49,False
