date,/m/0jgxn,isPartial
2015-12-27,51,False
2016-01-03,85,False
2016-01-10,82,False
2016-01-17,87,False
2016-01-24,85,False
2016-01-31,81,False
2016-02-07,73,False
2016-02-14,73,False
2016-02-21,81,False
2016-02-28,84,False
2016-03-06,80,False
2016-03-13,84,False
2016-03-20,76,False
2016-03-27,70,False
2016-04-03,73,False
2016-04-10,75,False
2016-04-17,68,False
2016-04-24,76,False
2016-05-01,64,False
2016-05-08,78,False
2016-05-15,71,False
2016-05-22,76,False
2016-05-29,73,False
2016-06-05,73,False
2016-06-12,73,False
2016-06-19,73,False
2016-06-26,64,False
2016-07-03,63,False
2016-07-10,51,False
2016-07-17,60,False
2016-07-24,57,False
2016-07-31,51,False
2016-08-07,49,False
2016-08-14,52,False
2016-08-21,63,False
2016-08-28,77,False
2016-09-04,86,False
2016-09-11,81,False
2016-09-18,86,False
2016-09-25,87,False
2016-10-02,80,False
2016-10-09,88,False
2016-10-16,81,False
2016-10-23,69,False
2016-10-30,80,False
2016-11-06,88,False
2016-11-13,98,False
2016-11-20,100,False
2016-11-27,95,False
2016-12-04,95,False
2016-12-11,87,False
2016-12-18,68,False
2016-12-25,77,False
