date,/m/0k_9,isPartial
2017-01-01,0,False
2017-01-08,54,False
2017-01-15,100,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,86,False
2017-02-26,0,False
2017-03-05,56,False
2017-03-12,0,False
2017-03-19,78,False
2017-03-26,54,False
2017-04-02,95,False
2017-04-09,0,False
2017-04-16,74,False
2017-04-23,77,False
2017-04-30,49,False
2017-05-07,73,False
2017-05-14,92,False
2017-05-21,0,False
2017-05-28,68,False
2017-06-04,0,False
2017-06-11,0,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,0,False
2017-07-09,64,False
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,64,False
2017-08-06,51,False
2017-08-13,65,False
2017-08-20,0,False
2017-08-27,97,False
2017-09-03,58,False
2017-09-10,70,False
2017-09-17,51,False
2017-09-24,58,False
2017-10-01,63,False
2017-10-08,67,False
2017-10-15,93,False
2017-10-22,83,False
2017-10-29,73,False
2017-11-05,55,False
2017-11-12,81,False
2017-11-19,54,False
2017-11-26,74,False
2017-12-03,85,False
2017-12-10,49,False
2017-12-17,82,False
2017-12-24,56,False
2017-12-31,78,False
