date,/m/0k_9,isPartial
2017-01-01,89,False
2017-01-08,99,False
2017-01-15,76,False
2017-01-22,75,False
2017-01-29,77,False
2017-02-05,90,False
2017-02-12,91,False
2017-02-19,87,False
2017-02-26,96,False
2017-03-05,98,False
2017-03-12,94,False
2017-03-19,96,False
2017-03-26,93,False
2017-04-02,78,False
2017-04-09,82,False
2017-04-16,84,False
2017-04-23,90,False
2017-04-30,92,False
2017-05-07,80,False
2017-05-14,97,False
2017-05-21,90,False
2017-05-28,84,False
2017-06-04,80,False
2017-06-11,83,False
2017-06-18,82,False
2017-06-25,92,False
2017-07-02,97,False
2017-07-09,84,False
2017-07-16,87,False
2017-07-23,95,False
2017-07-30,81,False
2017-08-06,71,False
2017-08-13,83,False
2017-08-20,84,False
2017-08-27,82,False
2017-09-03,93,False
2017-09-10,88,False
2017-09-17,89,False
2017-09-24,96,False
2017-10-01,84,False
2017-10-08,89,False
2017-10-15,96,False
2017-10-22,94,False
2017-10-29,90,False
2017-11-05,96,False
2017-11-12,88,False
2017-11-19,93,False
2017-11-26,88,False
2017-12-03,79,False
2017-12-10,86,False
2017-12-17,74,False
2017-12-24,79,False
2017-12-31,100,False
