date,/m/0k_9,isPartial
2017-01-01,82,False
2017-01-08,57,False
2017-01-15,100,False
2017-01-22,89,False
2017-01-29,85,False
2017-02-05,46,False
2017-02-12,83,False
2017-02-19,62,False
2017-02-26,92,False
2017-03-05,71,False
2017-03-12,72,False
2017-03-19,58,False
2017-03-26,83,False
2017-04-02,84,False
2017-04-09,54,False
2017-04-16,90,False
2017-04-23,55,False
2017-04-30,73,False
2017-05-07,61,False
2017-05-14,58,False
2017-05-21,80,False
2017-05-28,83,False
2017-06-04,49,False
2017-06-11,46,False
2017-06-18,43,False
2017-06-25,67,False
2017-07-02,48,False
2017-07-09,65,False
2017-07-16,41,False
2017-07-23,61,False
2017-07-30,79,False
2017-08-06,80,False
2017-08-13,51,False
2017-08-20,63,False
2017-08-27,76,False
2017-09-03,71,False
2017-09-10,50,False
2017-09-17,54,False
2017-09-24,47,False
2017-10-01,59,False
2017-10-08,93,False
2017-10-15,88,False
2017-10-22,44,False
2017-10-29,65,False
2017-11-05,66,False
2017-11-12,68,False
2017-11-19,75,False
2017-11-26,60,False
2017-12-03,74,False
2017-12-10,78,False
2017-12-17,69,False
2017-12-24,52,False
2017-12-31,64,False
