date,/m/03f_cb,isPartial
2017-01-01,100,False
2017-01-08,92,False
2017-01-15,67,False
2017-01-22,85,False
2017-01-29,78,False
2017-02-05,86,False
2017-02-12,89,False
2017-02-19,79,False
2017-02-26,64,False
2017-03-05,66,False
2017-03-12,74,False
2017-03-19,60,False
2017-03-26,83,False
2017-04-02,67,False
2017-04-09,80,False
2017-04-16,82,False
2017-04-23,86,False
2017-04-30,59,False
2017-05-07,55,False
2017-05-14,66,False
2017-05-21,58,False
2017-05-28,74,False
2017-06-04,73,False
2017-06-11,84,False
2017-06-18,64,False
2017-06-25,83,False
2017-07-02,62,False
2017-07-09,68,False
2017-07-16,69,False
2017-07-23,58,False
2017-07-30,53,False
2017-08-06,84,False
2017-08-13,54,False
2017-08-20,73,False
2017-08-27,53,False
2017-09-03,64,False
2017-09-10,68,False
2017-09-17,93,False
2017-09-24,86,False
2017-10-01,88,False
2017-10-08,86,False
2017-10-15,74,False
2017-10-22,100,False
2017-10-29,42,False
2017-11-05,93,False
2017-11-12,82,False
2017-11-19,55,False
2017-11-26,84,False
2017-12-03,66,False
2017-12-10,69,False
2017-12-17,51,False
2017-12-24,72,False
2017-12-31,65,False
