date,/m/03f_cb,isPartial
2017-01-01,72,False
2017-01-08,54,False
2017-01-15,67,False
2017-01-22,46,False
2017-01-29,54,False
2017-02-05,58,False
2017-02-12,67,False
2017-02-19,71,False
2017-02-26,56,False
2017-03-05,62,False
2017-03-12,71,False
2017-03-19,46,False
2017-03-26,67,False
2017-04-02,66,False
2017-04-09,61,False
2017-04-16,59,False
2017-04-23,66,False
2017-04-30,64,False
2017-05-07,53,False
2017-05-14,63,False
2017-05-21,49,False
2017-05-28,54,False
2017-06-04,48,False
2017-06-11,37,False
2017-06-18,54,False
2017-06-25,56,False
2017-07-02,61,False
2017-07-09,67,False
2017-07-16,57,False
2017-07-23,61,False
2017-07-30,60,False
2017-08-06,64,False
2017-08-13,49,False
2017-08-20,100,False
2017-08-27,50,False
2017-09-03,58,False
2017-09-10,53,False
2017-09-17,63,False
2017-09-24,64,False
2017-10-01,60,False
2017-10-08,60,False
2017-10-15,66,False
2017-10-22,61,False
2017-10-29,53,False
2017-11-05,52,False
2017-11-12,65,False
2017-11-19,72,False
2017-11-26,65,False
2017-12-03,64,False
2017-12-10,60,False
2017-12-17,68,False
2017-12-24,77,False
2017-12-31,78,False
