date,/m/06796,isPartial
2017-01-01,82,False
2017-01-08,73,False
2017-01-15,87,False
2017-01-22,84,False
2017-01-29,91,False
2017-02-05,85,False
2017-02-12,75,False
2017-02-19,75,False
2017-02-26,86,False
2017-03-05,83,False
2017-03-12,87,False
2017-03-19,83,False
2017-03-26,85,False
2017-04-02,74,False
2017-04-09,76,False
2017-04-16,69,False
2017-04-23,71,False
2017-04-30,71,False
2017-05-07,73,False
2017-05-14,74,False
2017-05-21,77,False
2017-05-28,70,False
2017-06-04,68,False
2017-06-11,71,False
2017-06-18,75,False
2017-06-25,75,False
2017-07-02,75,False
2017-07-09,65,False
2017-07-16,70,False
2017-07-23,82,False
2017-07-30,57,False
2017-08-06,63,False
2017-08-13,65,False
2017-08-20,70,False
2017-08-27,78,False
2017-09-03,76,False
2017-09-10,94,False
2017-09-17,100,False
2017-09-24,87,False
2017-10-01,77,False
2017-10-08,85,False
2017-10-15,90,False
2017-10-22,80,False
2017-10-29,59,False
2017-11-05,74,False
2017-11-12,82,False
2017-11-19,77,False
2017-11-26,78,False
2017-12-03,65,False
2017-12-10,71,False
2017-12-17,63,False
2017-12-24,48,False
2017-12-31,72,False
