date,/m/06796,isPartial
2017-01-01,38,False
2017-01-08,61,False
2017-01-15,58,False
2017-01-22,57,False
2017-01-29,75,False
2017-02-05,63,False
2017-02-12,74,False
2017-02-19,75,False
2017-02-26,64,False
2017-03-05,76,False
2017-03-12,73,False
2017-03-19,50,False
2017-03-26,100,False
2017-04-02,78,False
2017-04-09,67,False
2017-04-16,64,False
2017-04-23,51,False
2017-04-30,52,False
2017-05-07,62,False
2017-05-14,64,False
2017-05-21,73,False
2017-05-28,59,False
2017-06-04,53,False
2017-06-11,53,False
2017-06-18,51,False
2017-06-25,73,False
2017-07-02,41,False
2017-07-09,52,False
2017-07-16,66,False
2017-07-23,43,False
2017-07-30,41,False
2017-08-06,43,False
2017-08-13,44,False
2017-08-20,66,False
2017-08-27,68,False
2017-09-03,74,False
2017-09-10,87,False
2017-09-17,71,False
2017-09-24,65,False
2017-10-01,61,False
2017-10-08,79,False
2017-10-15,76,False
2017-10-22,80,False
2017-10-29,55,False
2017-11-05,74,False
2017-11-12,68,False
2017-11-19,52,False
2017-11-26,86,False
2017-12-03,53,False
2017-12-10,55,False
2017-12-17,68,False
2017-12-24,65,False
2017-12-31,55,False
