date,/m/03f_cb,isPartial
2017-12-31,58,False
2018-01-07,68,False
2018-01-14,69,False
2018-01-21,66,False
2018-01-28,100,False
2018-02-04,73,False
2018-02-11,73,False
2018-02-18,73,False
2018-02-25,68,False
2018-03-04,71,False
2018-03-11,68,False
2018-03-18,69,False
2018-03-25,67,False
2018-04-01,74,False
2018-04-08,73,False
2018-04-15,80,False
2018-04-22,69,False
2018-04-29,72,False
2018-05-06,84,False
2018-05-13,68,False
2018-05-20,73,False
2018-05-27,75,False
2018-06-03,75,False
2018-06-10,66,False
2018-06-17,64,False
2018-06-24,58,False
2018-07-01,61,False
2018-07-08,61,False
2018-07-15,59,False
2018-07-22,67,False
2018-07-29,66,False
2018-08-05,62,False
2018-08-12,69,False
2018-08-19,72,False
2018-08-26,69,False
2018-09-02,61,False
2018-09-09,64,False
2018-09-16,68,False
2018-09-23,67,False
2018-09-30,67,False
2018-10-07,70,False
2018-10-14,71,False
2018-10-21,75,False
2018-10-28,61,False
2018-11-04,71,False
2018-11-11,72,False
2018-11-18,64,False
2018-11-25,73,False
2018-12-02,68,False
2018-12-09,71,False
2018-12-16,64,False
2018-12-23,62,False
2018-12-30,69,False
