date,/m/06796,isPartial
2017-12-31,62,False
2018-01-07,73,False
2018-01-14,71,False
2018-01-21,73,False
2018-01-28,80,False
2018-02-04,79,False
2018-02-11,74,False
2018-02-18,86,False
2018-02-25,95,False
2018-03-04,76,False
2018-03-11,100,False
2018-03-18,92,False
2018-03-25,99,False
2018-04-01,84,False
2018-04-08,74,False
2018-04-15,76,False
2018-04-22,72,False
2018-04-29,66,False
2018-05-06,73,False
2018-05-13,75,False
2018-05-20,64,False
2018-05-27,60,False
2018-06-03,63,False
2018-06-10,66,False
2018-06-17,72,False
2018-06-24,76,False
2018-07-01,55,False
2018-07-08,59,False
2018-07-15,63,False
2018-07-22,56,False
2018-07-29,64,False
2018-08-05,48,False
2018-08-12,55,False
2018-08-19,77,False
2018-08-26,69,False
2018-09-02,70,False
2018-09-09,74,False
2018-09-16,88,False
2018-09-23,86,False
2018-09-30,62,False
2018-10-07,70,False
2018-10-14,84,False
2018-10-21,81,False
2018-10-28,73,False
2018-11-04,72,False
2018-11-11,87,False
2018-11-18,79,False
2018-11-25,78,False
2018-12-02,61,False
2018-12-09,81,False
2018-12-16,81,False
2018-12-23,66,False
2018-12-30,60,False
