date,/m/0k_9,isPartial
2018-12-30,86,False
2019-01-06,90,False
2019-01-13,94,False
2019-01-20,92,False
2019-01-27,91,False
2019-02-03,88,False
2019-02-10,87,False
2019-02-17,91,False
2019-02-24,91,False
2019-03-03,95,False
2019-03-10,88,False
2019-03-17,94,False
2019-03-24,92,False
2019-03-31,87,False
2019-04-07,89,False
2019-04-14,85,False
2019-04-21,86,False
2019-04-28,90,False
2019-05-05,84,False
2019-05-12,81,False
2019-05-19,89,False
2019-05-26,87,False
2019-06-02,90,False
2019-06-09,89,False
2019-06-16,96,False
2019-06-23,87,False
2019-06-30,86,False
2019-07-07,90,False
2019-07-14,89,False
2019-07-21,89,False
2019-07-28,91,False
2019-08-04,86,False
2019-08-11,90,False
2019-08-18,96,False
2019-08-25,100,False
2019-09-01,91,False
2019-09-08,91,False
2019-09-15,95,False
2019-09-22,88,False
2019-09-29,86,False
2019-10-06,88,False
2019-10-13,87,False
2019-10-20,89,False
2019-10-27,86,False
2019-11-03,88,False
2019-11-10,87,False
2019-11-17,97,False
2019-11-24,97,False
2019-12-01,86,False
2019-12-08,92,False
2019-12-15,94,False
2019-12-22,81,False
2019-12-29,87,False
