date,/m/03f_cb,isPartial
2018-12-30,13,False
2019-01-06,14,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,14,False
2019-02-03,13,False
2019-02-10,14,False
2019-02-17,13,False
2019-02-24,13,False
2019-03-03,13,False
2019-03-10,14,False
2019-03-17,14,False
2019-03-24,15,False
2019-03-31,14,False
2019-04-07,14,False
2019-04-14,11,False
2019-04-21,12,False
2019-04-28,12,False
2019-05-05,13,False
2019-05-12,13,False
2019-05-19,13,False
2019-05-26,12,False
2019-06-02,16,False
2019-06-09,12,False
2019-06-16,13,False
2019-06-23,14,False
2019-06-30,51,False
2019-07-07,93,False
2019-07-14,90,False
2019-07-21,82,False
2019-07-28,84,False
2019-08-04,85,False
2019-08-11,88,False
2019-08-18,92,False
2019-08-25,84,False
2019-09-01,80,False
2019-09-08,82,False
2019-09-15,80,False
2019-09-22,84,False
2019-09-29,78,False
2019-10-06,81,False
2019-10-13,83,False
2019-10-20,90,False
2019-10-27,84,False
2019-11-03,90,False
2019-11-10,100,False
2019-11-17,93,False
2019-11-24,84,False
2019-12-01,83,False
2019-12-08,84,False
2019-12-15,86,False
2019-12-22,77,False
2019-12-29,86,False
