date,/m/03f_cb,isPartial
2018-12-30,76,False
2019-01-06,80,False
2019-01-13,76,False
2019-01-20,84,False
2019-01-27,78,False
2019-02-03,87,False
2019-02-10,82,False
2019-02-17,98,False
2019-02-24,79,False
2019-03-03,99,False
2019-03-10,92,False
2019-03-17,80,False
2019-03-24,90,False
2019-03-31,81,False
2019-04-07,80,False
2019-04-14,79,False
2019-04-21,72,False
2019-04-28,90,False
2019-05-05,92,False
2019-05-12,90,False
2019-05-19,82,False
2019-05-26,73,False
2019-06-02,68,False
2019-06-09,72,False
2019-06-16,92,False
2019-06-23,86,False
2019-06-30,84,False
2019-07-07,67,False
2019-07-14,71,False
2019-07-21,80,False
2019-07-28,63,False
2019-08-04,86,False
2019-08-11,78,False
2019-08-18,85,False
2019-08-25,78,False
2019-09-01,86,False
2019-09-08,81,False
2019-09-15,64,False
2019-09-22,76,False
2019-09-29,74,False
2019-10-06,82,False
2019-10-13,84,False
2019-10-20,79,False
2019-10-27,72,False
2019-11-03,75,False
2019-11-10,81,False
2019-11-17,100,False
2019-11-24,71,False
2019-12-01,77,False
2019-12-08,84,False
2019-12-15,83,False
2019-12-22,87,False
2019-12-29,88,False
