date,/m/03f_cb,isPartial
2018-12-30,0,False
2019-01-06,48,False
2019-01-13,52,False
2019-01-20,77,False
2019-01-27,77,False
2019-02-03,73,False
2019-02-10,75,False
2019-02-17,53,False
2019-02-24,88,False
2019-03-03,68,False
2019-03-10,53,False
2019-03-17,73,False
2019-03-24,57,False
2019-03-31,85,False
2019-04-07,62,False
2019-04-14,69,False
2019-04-21,60,False
2019-04-28,80,False
2019-05-05,98,False
2019-05-12,74,False
2019-05-19,42,False
2019-05-26,54,False
2019-06-02,83,False
2019-06-09,55,False
2019-06-16,82,False
2019-06-23,63,False
2019-06-30,83,False
2019-07-07,91,False
2019-07-14,62,False
2019-07-21,83,False
2019-07-28,57,False
2019-08-04,68,False
2019-08-11,96,False
2019-08-18,47,False
2019-08-25,65,False
2019-09-01,44,False
2019-09-08,100,False
2019-09-15,72,False
2019-09-22,86,False
2019-09-29,72,False
2019-10-06,71,False
2019-10-13,73,False
2019-10-20,72,False
2019-10-27,62,False
2019-11-03,53,False
2019-11-10,58,False
2019-11-17,79,False
2019-11-24,93,False
2019-12-01,86,False
2019-12-08,75,False
2019-12-15,79,False
2019-12-22,99,False
2019-12-29,86,False
