date,/m/06796,isPartial
2018-12-30,57,False
2019-01-06,62,False
2019-01-13,95,False
2019-01-20,48,False
2019-01-27,50,False
2019-02-03,56,False
2019-02-10,54,False
2019-02-17,0,False
2019-02-24,55,False
2019-03-03,71,False
2019-03-10,62,False
2019-03-17,63,False
2019-03-24,88,False
2019-03-31,71,False
2019-04-07,66,False
2019-04-14,0,False
2019-04-21,53,False
2019-04-28,62,False
2019-05-05,78,False
2019-05-12,68,False
2019-05-19,50,False
2019-05-26,69,False
2019-06-02,0,False
2019-06-09,90,False
2019-06-16,0,False
2019-06-23,58,False
2019-06-30,55,False
2019-07-07,43,False
2019-07-14,0,False
2019-07-21,59,False
2019-07-28,72,False
2019-08-04,50,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,43,False
2019-09-01,74,False
2019-09-08,45,False
2019-09-15,0,False
2019-09-22,69,False
2019-09-29,50,False
2019-10-06,100,False
2019-10-13,0,False
2019-10-20,59,False
2019-10-27,63,False
2019-11-03,64,False
2019-11-10,45,False
2019-11-17,0,False
2019-11-24,88,False
2019-12-01,78,False
2019-12-08,58,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,55,False
