date,/m/0jgxn,isPartial
2018-12-30,65,False
2019-01-06,74,False
2019-01-13,77,False
2019-01-20,85,False
2019-01-27,93,False
2019-02-03,75,False
2019-02-10,69,False
2019-02-17,68,False
2019-02-24,97,False
2019-03-03,81,False
2019-03-10,89,False
2019-03-17,75,False
2019-03-24,76,False
2019-03-31,65,False
2019-04-07,74,False
2019-04-14,66,False
2019-04-21,73,False
2019-04-28,54,False
2019-05-05,60,False
2019-05-12,70,False
2019-05-19,51,False
2019-05-26,57,False
2019-06-02,58,False
2019-06-09,66,False
2019-06-16,52,False
2019-06-23,67,False
2019-06-30,72,False
2019-07-07,57,False
2019-07-14,57,False
2019-07-21,46,False
2019-07-28,61,False
2019-08-04,58,False
2019-08-11,100,False
2019-08-18,93,False
2019-08-25,61,False
2019-09-01,63,False
2019-09-08,78,False
2019-09-15,72,False
2019-09-22,73,False
2019-09-29,77,False
2019-10-06,74,False
2019-10-13,54,False
2019-10-20,70,False
2019-10-27,74,False
2019-11-03,94,False
2019-11-10,79,False
2019-11-17,71,False
2019-11-24,82,False
2019-12-01,54,False
2019-12-08,69,False
2019-12-15,57,False
2019-12-22,43,False
2019-12-29,66,False
